A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11
1.1697,1.0244,1.6688,1.3406,1,465.9,16,2.7,1.6290511518937916,-0.5834846028487319,0.7109172832242456,0.339492057083986,1.0560039379899393,1.6688,1.7224694650527137,5.62791496423569,3.0405250153787153,-2.0954925541365097,-1.7604934400000003
1.1697,1.0231,1.664,1.3394,1,465.9,16,2.7,1.6264294790343077,-0.5754280148189499,0.7147078880726578,0.3395355823273116,1.0506616388616727,1.664,1.723245254618317,5.616594340311713,3.0336894846153846,-2.1322468431272736,-1.745796
1.1694,1.0249,1.6588,1.3368,1,465.9,16,2.7,1.6184993657917848,-0.573483088866346,0.7186874336226986,0.34153150149547357,1.05112862014734,1.6588,1.711140521026442,5.601800002187673,3.023367611401013,-2.267961179255255,-1.72671744
1.1713,1.0101,1.6529,1.3322,1,465.9,16,2.7,1.6363726363726363,-0.5373649742987443,0.7214401679522515,0.33215280673469955,1.0065996390854022,1.6529,1.7436903474903478,5.575538036529995,3.007970753101821,-1.764665073107099,-1.7219784100000002
1.1705,1.0092,1.6481,1.331,1,465.9,16,2.7,1.6330757035275463,-0.5311580611075324,0.7258149756928562,0.33261580693929377,1.0024462957001163,1.6481,1.7432776456599277,5.566156517588331,3.0012177264182993,-1.775143604577635,-1.7070336099999996
1.1708,1.0083,1.6428,1.3278,1,465.9,16,2.7,1.6292770008925916,-0.5234693288467496,0.7294563294397881,0.3326616485077891,0.9951467675185481,1.6428,1.7376099375185958,5.548312797798871,2.9895640401460923,-1.7823242349514152,-1.6904918400000002
1.1738,1.0227,1.6395,1.3252,1,465.9,16,2.7,1.6031094162511001,-0.5428711493722689,0.7298540596892394,0.34173240845938535,1.0264282698916414,1.6395,1.6877608291776671,5.529070202934458,2.980960611954864,-2.6012598674985203,-1.6652602499999998
1.1736,1.0215,1.6355,1.3243,1,465.9,16,2.7,1.601076847772883,-0.5361752696503261,0.7333067632379561,0.3417560901811279,1.02183774110822,1.6355,1.688984865394028,5.520408379964254,2.975614447615408,-2.634534798892614,-1.65336025
1.1735,1.02,1.6301,1.3217,1,465.9,16,2.7,1.5981372549019608,-0.5275538747087243,0.737524379471927,0.3416137008200736,1.0139121381434566,1.6301,1.6867224411764707,5.504893416316665,2.965312322812711,-2.618215127003255,-1.6372260100000005
1.1846,1.042,1.5776,1.289,0,73.6,10,6.0,1.5140115163147791,-0.49624004002280664,0.7708724326888821,0.3605555187801167,1.013199705882475,1.5776,1.5425940499040303,5.3099971236306995,2.8505902945233266,7.91013120267922,-1.4468217599999995
