A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9
1.1339,0.924,1.5511111111111109,1.299294117647059,0,1.0,1,0.0,0.6571075697211155,1.6786916786916783,2.85040522875817,4.072735012345678,0.4190032355522004,12.676211987541837,2.445157172278913,0.6446991404011463,0.5085821217449992
1.1331,0.9231,1.577888888888889,1.2963529411764707,0,1.0,1,0.0,0.6573160618023415,1.7093368962072244,2.8742418300653596,4.188978901234568,0.5905275150179425,12.676302110351353,2.440429316762448,0.6337581860432364,0.479839399921454
1.1333,0.926,1.5723333333333334,1.2922352941176471,0,1.0,1,0.0,0.6635602694828843,1.6979841612670985,2.8645686274509803,4.163210144444443,0.5416526065156236,12.648016099519857,2.4324764430787758,0.635997456010176,0.4740248813891902
1.133,0.9264,1.5684444444444443,1.2902352941176471,0,1.0,1,0.0,0.6651631403300812,1.6930531567837266,2.8586797385620915,4.145903041975307,0.5159393205400303,12.656537631398606,2.4290131353512283,0.6375743836780958,0.46657533148253355
1.1283,0.9383,1.6076666666666668,1.3058823529411767,0,1.0,1,0.0,0.6741854563063062,1.7133823581654766,2.9135490196078435,4.307715444444446,0.6783567523655566,13.177462445542066,2.4632716580383818,0.6220194899440181,0.6004609023783436
1.1285,0.9381,1.6011111111111112,1.31,0,1.0,1,0.0,0.6717798549618321,1.7067595257553683,2.9111111111111114,4.279119456790124,0.6438644978496718,13.204327539483554,2.4708329641116524,0.6245662734212352,0.6232540463852417
1.1268,0.9395,1.5945555555555555,1.299764705882353,0,1.0,1,0.0,0.6790923357168718,1.6972384838270946,2.894320261437908,4.248523230864198,0.6019803108667303,13.25292245204504,2.453265509824803,0.6271339976308271,0.5731933215300937
1.1697,1.0244,1.6688,1.3406,1,465.9,16,2.7,0.7827803669998508,1.6290511518937916,3.0094000000000003,4.55087008,0.2706888817678899,11.459770842327616,2.4867058391040437,0.5992329817833173,1.2120455336447302
1.1697,1.0231,1.664,1.3394,1,465.9,16,2.7,0.7814944079438554,1.6264294790343077,3.0034,4.530238399999999,0.2459325162151977,11.447264734921905,2.4844799350260747,0.6009615384615384,1.1942604863530426
1.1694,1.0249,1.6588,1.3368,1,465.9,16,2.7,0.7857720002992219,1.6184993657917848,2.9956,4.50561404,0.17562123598445364,11.451257239387166,2.479950333504361,0.6028454304316374,1.1750653616357383
