A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11,Hyperfeature_12
1.1694,1.0249,1.6588,1.3368,1,465.9,16,2.7,-0.8008314054607926,1.6588,0.39997836382405727,1.0249,1.93980072,-1.4855711899709383,3.5018180599999997,1.1694,1.2907745279128704,0.8374124679122625,-0.1602917031154787,1.1517942894929827
1.1713,1.0101,1.6529,1.3322,1,465.9,16,2.7,-0.8250564511917229,1.6529,0.3782577070537456,1.0101,1.93604177,-1.5345096869114934,3.49723013,1.1713,1.2714031691243277,0.8274378484784517,-0.09439760655315739,1.1738074776498097
1.1705,1.0092,1.6481,1.331,1,465.9,16,2.7,-0.8248479209134274,1.6481,0.38116980734410255,1.0092,1.92910105,-1.5232972353527343,3.4906686000000007,1.1705,1.267104710173105,0.8261236598503222,-0.1036513351773775,1.1747405636071033
1.1708,1.0083,1.6428,1.3278,1,465.9,16,2.7,-0.8263170172541467,1.6428,0.3858975846000903,1.0083,1.9233902400000003,-1.5291101139275254,3.4858176399999996,1.1708,1.2645258093058385,0.82197051486723,-0.11392651146895985,1.1798006589175207
1.1738,1.0227,1.6395,1.3252,1,465.9,16,2.7,-0.8061239937360878,1.6395,0.42201300482644116,1.0227,1.9244450999999998,-1.5150165813016432,3.49104526,1.1738,1.281666719962628,0.8212994826482664,-0.20742333933627957,1.1795669863457987
1.1736,1.0215,1.6355,1.3243,1,465.9,16,2.7,-0.8068525788740619,1.6355,0.42381998882428473,1.0215,1.9194228,-1.5079424295016055,3.4864324000000004,1.1736,1.2772451236786708,0.8200118136580107,-0.21299870680688346,1.1821507501687532
1.1735,1.02,1.6301,1.3217,1,465.9,16,2.7,-0.8085320347749791,1.6301,0.42708194921313447,1.02,1.91292235,-1.5086411945879281,3.4805700000000006,1.1735,1.2731500204468005,0.8165905563667997,-0.21991136155384683,1.1863877673441485
1.1846,1.042,1.5776,1.289,0,73.6,10,6.0,-0.7800787558635932,1.5776,0.5512952318262222,1.042,1.86882496,-1.5288906489181393,3.4545532,1.1846,1.2848403486124351,0.7789427119857166,-0.488970073109682,1.239421362029049
1.1843,1.0411,1.5732,1.2881,0,73.6,10,6.0,-0.7801356118775737,1.5732,0.5542320809021037,1.0411,1.8631407599999998,-1.5195060166954455,3.4493747299999997,1.1843,1.2803924609457442,0.7777625623610751,-0.49628752293065037,1.2417099458231038
1.1837,1.0394,1.5686,1.287,0,73.6,10,6.0,-0.7812291894170669,1.5686,0.5554502960668223,1.0394,1.85675182,-1.5115677107157877,3.4432377800000005,1.1837,1.2750980819874413,0.7762575624733341,-0.49936522399575123,1.243826807985344
1.1852,1.0366,1.5436,1.2739,0,73.6,10,6.0,-0.7837590124135356,1.5436,0.5839772443551298,1.0366,1.82947472,-1.5181982819174062,3.4207783199999997,1.1852,1.2620375417316372,0.7593603050293626,-0.5484354858738122,1.267845049628528
1.1845,1.0375,1.5389,1.2708,0,73.6,10,6.0,-0.7818587794373348,1.5389,0.5918869043319174,1.0375,1.8228270500000001,-1.5171054290874992,3.4148187500000002,1.1845,1.2623320067224795,0.7561974735957512,-0.5626446525294962,1.2684746240987528
1.1855,1.0397,1.5354,1.2677,0,73.6,10,6.0,-0.7793859155384033,1.5354,0.6030947195708765,1.0397,1.8202167,-1.5232796224365608,3.41376435,1.1855,1.2650376581229446,0.7526911481039839,-0.5822383238417658,1.2729059191720846
