A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
1.1283,0.9383,1.6076666666666668,1.3058823529411767,0,1.0,1,0.0,1.0,0.28316422156862736,1.8139303000000002,1.3058823529411767,0.1345630121265181
1.1285,0.9381,1.6011111111111112,1.31,0,1.0,1,0.0,1.0,0.27309133333333335,1.806853888888889,1.31,0.13045966931038977
1.1268,0.9395,1.5945555555555555,1.299764705882353,0,1.0,1,0.0,1.0,0.2769560032679738,1.7967452,1.299764705882353,0.11490941557150203
1.1697,1.0244,1.6688,1.3406,1,465.9,16,2.7,1.0,0.33620808,1.95199536,1.3406,0.34998069685908906
1.1697,1.0231,1.664,1.3394,1,465.9,16,2.7,1.0,0.33209826,1.9463807999999998,1.3394,0.3441513415387716
1.1694,1.0249,1.6588,1.3368,1,465.9,16,2.7,1.0,0.33001780000000003,1.93980072,1.3368,0.3390318156571013
1.1713,1.0101,1.6529,1.3322,1,465.9,16,2.7,1.0,0.32393907,1.93604177,1.3322,0.3233826336455914
1.1705,1.0092,1.6481,1.331,1,465.9,16,2.7,1.0,0.32001732,1.92910105,1.331,0.31634230771040417
1.1708,1.0083,1.6428,1.3278,1,465.9,16,2.7,1.0,0.3176144999999999,1.9233902400000003,1.3278,0.30978020809202533
1.1738,1.0227,1.6395,1.3252,1,465.9,16,2.7,1.0,0.32143461,1.9244450999999998,1.3252,0.32200126991884925
1.1736,1.0215,1.6355,1.3243,1,465.9,16,2.7,1.0,0.3178907999999999,1.9194228,1.3243,0.3165102660977557
1.1735,1.02,1.6301,1.3217,1,465.9,16,2.7,1.0,0.314568,1.91292235,1.3217,0.3087015160460076
1.1846,1.042,1.5776,1.289,0,73.6,10,6.0,1.0,0.30072119999999997,1.86882496,1.289,0.27332892334034864
1.1843,1.0411,1.5732,1.2881,0,73.6,10,6.0,1.0,0.2968176099999999,1.8631407599999998,1.2881,0.2666001368139823
1.1837,1.0394,1.5686,1.287,0,73.6,10,6.0,1.0,0.29269504000000013,1.85675182,1.287,0.25830492329462196
1.1852,1.0366,1.5436,1.2739,0,73.6,10,6.0,1.0,0.27957102000000006,1.82947472,1.2739,0.2219684690766317
1.1845,1.0375,1.5389,1.2708,0,73.6,10,6.0,1.0,0.27815375000000003,1.8228270500000001,1.2708,0.2128475080857466
1.1855,1.0397,1.5354,1.2677,0,73.6,10,6.0,1.0,0.27832769000000007,1.8202167,1.2677,0.20982525512152672
1.1866,1.039,1.528,1.2587,0,73.6,10,6.0,1.0,0.27980270000000007,1.8131248000000002,1.2587,0.19638885029960096
1.1869,1.0379,1.5229,1.2553,0,73.6,10,6.0,1.0,0.27774203999999986,1.80753001,1.2553,0.18753792921783607
1.1873,1.0368,1.5187,1.2556,0,73.6,10,6.0,1.0,0.27278207999999987,1.8031525099999999,1.2556,0.18269144055682207
