A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,-0.34798354661038156,1.8825942540011933,0.6279398127256272,1.2417
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,-0.36790901798538567,1.8825311141851686,0.6335874586555433,1.2398
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,-0.5401163387549806,1.8730280088867242,0.7193515379232124,1.2251
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,-0.5779228904601499,1.8648313240869936,0.7311655712921171,1.221
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,-0.5866385227397612,1.8552801329017132,0.7349285063397831,1.2183
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,-0.05808571371207738,2.0312912362161213,0.3348424034079304,1.31082352941177
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,-0.0751159592232582,2.037832427319806,0.3526285304920648,1.31082352941177
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,-0.07654546576732368,2.042873824210359,0.35996481883852316,1.31082352941177
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,-0.020490095370910844,2.051840255335011,0.36317219591909117,1.31764705882353
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,-0.05662195216928323,2.039342425596668,0.3806336113079617,1.31364705882353
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,-0.08434914184288389,2.038182711442857,0.39314530814065246,1.31152941176471
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,-0.04293818625879209,2.0545781213310605,0.386539037404376,1.31717647058824
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,-0.13405220861496514,1.9971768528360117,0.3984331832446304,1.30294117647059
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,-0.12818294200465563,2.0075895313204275,0.4161240877466199,1.30494117647059
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,-0.49390736236490995,2.268860025073315,0.5201037940490784,1.26370473145643
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,-0.4462271169789922,2.319343838688081,0.5248498813946184,1.27205736770634
1.10543046186201,0.996589733111991,1.40338359743922,1.27205736770634,0,1.0,17,0.0,-0.4475707405399081,2.325827467873884,0.5275149165585898,1.27205736770634
