A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2
1.1339,0.924,1.5511111111111109,1.299294117647059,0,1.0,1,0.0,0.207849273670611,-0.0008192996605098295
1.1331,0.9231,1.577888888888889,1.2963529411764707,0,1.0,1,0.0,0.08073268988465032,-0.011652045822657917
1.1333,0.926,1.5723333333333334,1.2922352941176471,0,1.0,1,0.0,0.21241726001842554,-0.00775223580792822
1.133,0.9264,1.5684444444444443,1.2902352941176471,0,1.0,1,0.0,0.268881164614455,-0.006076332065543902
1.1283,0.9383,1.6076666666666668,1.3058823529411767,0,1.0,1,0.0,-0.07478086818345897,-0.014182649372108305
1.1285,0.9381,1.6011111111111112,1.31,0,1.0,1,0.0,-0.10220929366224696,-0.01178166767233013
1.1268,0.9395,1.5945555555555555,1.299764705882353,0,1.0,1,0.0,0.11818661585854762,-0.008731802711086261
1.1697,1.0244,1.6688,1.3406,1,465.9,16,2.7,0.43514342783733295,0.026271560393032002
1.1697,1.0231,1.664,1.3394,1,465.9,16,2.7,0.46717254741133374,0.027359994791136075
1.1694,1.0249,1.6588,1.3368,1,465.9,16,2.7,0.5906492861026832,0.0309393029770903
1.1713,1.0101,1.6529,1.3322,1,465.9,16,2.7,0.4457716047083038,0.022808210816920322
1.1705,1.0092,1.6481,1.331,1,465.9,16,2.7,0.48141658702261114,0.024053984989452316
1.1708,1.0083,1.6428,1.3278,1,465.9,16,2.7,0.5615991241696128,0.025708692161389553
1.1738,1.0227,1.6395,1.3252,1,465.9,16,2.7,0.9174000581103793,0.03851683241368716
1.1736,1.0215,1.6355,1.3243,1,465.9,16,2.7,0.9354722959816633,0.039327320909945576
1.1735,1.02,1.6301,1.3217,1,465.9,16,2.7,0.9897405251150962,0.04058043502258931
1.1846,1.042,1.5776,1.289,0,73.6,10,6.0,2.4536429671004742,0.08722297994975108
1.1843,1.0411,1.5732,1.2881,0,73.6,10,6.0,2.4707688509279393,0.08860869961592502
1.1837,1.0394,1.5686,1.287,0,73.6,10,6.0,2.472155061668901,0.08932220977064204
1.1852,1.0366,1.5436,1.2739,0,73.6,10,6.0,2.7764233619623493,0.10065795410427955
