A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,0.850610303356665,1.31082352941177,-0.6670316249999977,1.115,1.0,2.5258235294117704,-1.0747617721161136,2.7207004040498735
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,0.8477232142857138,1.31764705882353,-0.6721460110111085,1.117,1.0,2.5385470588235304,-1.0872821345485453,2.737103192071875
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,0.851522478953967,1.31364705882353,-0.6593405917995532,1.1186,1.0,2.5347470588235304,-1.0856919766286077,2.716862076051494
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,0.8538123430211669,1.31152941176471,-0.6487157700324503,1.1198,1.0,2.53182941176471,-1.0842594806109678,2.7019498165085984
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,0.8503795998570888,1.31717647058824,-0.6556408862678875,1.1201,1.0,2.53927647058824,-1.0903671466803433,2.718707023242191
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,0.8604379232505631,1.30294117647059,-0.6453880904294417,1.1211,1.0,2.52444117647059,-1.0772743917728276,2.6940140358617897
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,0.8595789758384409,1.30494117647059,-0.6355461447969999,1.1217,1.0,2.52764117647059,-1.083143468271791,2.6772710647864266
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,0.7905293732728881,1.26370473145643,-0.4639716996224786,0.998995709360235,1.0,2.37073467564473,-1.0625362975113004,1.8800827013204213
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,0.7847981647046958,1.27205736770634,-0.45752599507764,0.998308287575022,1.0,2.3788050503076503,-1.0749560567786058,1.8700748715046849
1.10543046186201,0.996589733111991,1.40338359743922,1.27205736770634,0,1.0,17,0.0,0.7834471608060825,1.27205736770634,-0.45343928615885487,0.996589733111991,1.0,2.3774878295683504,-1.0772515312527495,1.8565562160402653
1.11643866375475,1.00148761333163,1.4703202987947,1.27181170193428,0,1.0,17,0.0,0.7874495979306385,1.27181170193428,-0.5217596371713703,1.00148761333163,1.0,2.3882503656890304,-1.051979247448941,1.9949644907807296
1.11662683814608,1.00380766185672,1.46193415170005,1.26075674219176,0,1.0,17,0.0,0.796194561776963,1.26075674219176,-0.5072884072265231,1.00380766185672,1.0,2.37738358033784,-1.04582063183748,1.970173466541393
1.11559187899377,1.00071426382327,1.45423414391314,1.26628422206302,0,1.0,17,0.0,0.7902761847517253,1.26628422206302,-0.5051456991251454,1.00071426382327,1.0,2.3818761010567897,-1.054477100897494,1.9572925774041154
1.1170972741244,1.01179894010982,1.4539291931097,1.27279436502251,0,1.0,17,0.0,0.7949429757979215,1.27279436502251,-0.48056641991656684,1.01179894010982,1.0,2.38989163914691,-1.0634323923554367,1.960392850474415
1.11643866375475,1.01102559060146,1.44638166072452,1.26996920864386,0,1.0,17,0.0,0.7961024438388442,1.26996920864386,-0.473603235190649,1.01102559060146,1.0,2.3864078723986104,-1.064051975933417,1.9427853587512955
1.11549779179811,1.010767807432,1.43845293983503,1.26726688515125,0,1.0,17,0.0,0.7975966383050902,1.26726688515125,-0.4649410182210168,1.010767807432,1.0,2.38276467694936,-1.064690532530638,1.9246467720744709
1.1347,0.9232,1.5595555555555554,1.295294117647059,0,1.0,1,0.0,0.7127338782924614,1.295294117647059,-0.8025248759608884,0.9232,1.0,2.429994117647059,-1.0539985496176816,2.196471213250619
1.1342,0.9227,1.555222222222222,1.295294117647059,0,1.0,1,0.0,0.7123478655767483,1.295294117647059,-0.7983031905264447,0.9227,1.0,2.4294941176470592,-1.0553860520354055,2.1868029899303627
1.1339,0.924,1.5511111111111109,1.299294117647059,0,1.0,1,0.0,0.7111553784860557,1.299294117647059,-0.7907082824888882,0.924,1.0,2.4331941176470586,-1.0609420153599087,2.1800145826483903
1.1331,0.9231,1.577888888888889,1.2963529411764707,0,1.0,1,0.0,0.7120745984209093,1.2963529411764707,-0.8223759685089999,0.9231,1.0,2.4294529411764705,-1.0436203616464361,2.240257878728002
1.1333,0.926,1.5723333333333334,1.2922352941176471,0,1.0,1,0.0,0.7165877640203933,1.2922352941176471,-0.8101478158666663,0.926,1.0,2.425535294117647,-1.0425016270636889,2.2248575610624814
1.133,0.9264,1.5684444444444443,1.2902352941176471,0,1.0,1,0.0,0.7180085711680495,1.2902352941176471,-0.8046877398755554,0.9264,1.0,2.423235294117647,-1.0419564144803046,2.2148486791160487
1.1283,0.9383,1.6076666666666668,1.3058823529411767,0,1.0,1,0.0,0.7185180180180178,1.3058823529411767,-0.820567206013,0.9383,1.0,2.4341823529411766,-1.0302875574420125,2.3188667347620284
1.1285,0.9381,1.6011111111111112,1.31,0,1.0,1,0.0,0.7161068702290077,1.31,-0.8137382170038893,0.9381,1.0,2.4385000000000003,-1.0380490283854158,2.305960685728083
1.1268,0.9395,1.5945555555555555,1.299764705882353,0,1.0,1,0.0,0.7228231354091238,1.299764705882353,-0.8021636302999998,0.9395,1.0,2.426564705882353,-1.0283302638427496,2.285093607547895
1.1697,1.0244,1.6688,1.3406,1,465.9,16,2.7,0.7641354617335521,1.3406,-0.7245176074080004,1.0244,1.0,2.5103,-1.0964636379179404,2.4654275590599104
1.1697,1.0231,1.664,1.3394,1,465.9,16,2.7,0.76384948484396,1.3394,-0.7220164963830005,1.0231,1.0,2.5091,-1.0973961628626072,2.4530971585203867
1.1694,1.0249,1.6588,1.3368,1,465.9,16,2.7,0.7666816277678037,1.3368,-0.7114395603060001,1.0249,1.0,2.5061999999999998,-1.0964918286357128,2.439273210623326
