A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6
1.11643866375475,1.00148761333163,1.4703202987947,1.27181170193428,0,1.0,17,0.0,-5.326285555727428,-0.708712399149543,1.9941106383515848,1.5952136871204443,1.857256266860619,0.02537641200778802
1.11662683814608,1.00380766185672,1.46193415170005,1.26075674219176,0,1.0,17,0.0,-4.738587309338818,-0.7523062608734523,1.9431348763351453,1.5857894300904023,1.8359541457442488,0.013901246523648221
1.11559187899377,1.00071426382327,1.45423414391314,1.26628422206302,0,1.0,17,0.0,-5.479999184396979,-0.7468165047578246,1.8628002995545718,1.5815067195144774,1.835478544244089,0.02173898158616948
1.1170972741244,1.01179894010982,1.4539291931097,1.27279436502251,0,1.0,17,0.0,-5.912279163758892,-0.7472413925654038,1.8681147008469199,1.584423638567286,1.833403515871207,0.02488804516634494
1.11643866375475,1.01102559060146,1.44638166072452,1.26996920864386,0,1.0,17,0.0,-5.995891773018127,-0.7647657738642568,1.8110213450959185,1.5781908591593707,1.823047747558411,0.023533918717368124
1.11549779179811,1.010767807432,1.43845293983503,1.26726688515125,0,1.0,17,0.0,-6.115401576699792,-0.7832378068040714,1.7554808801134008,1.571548816477373,1.8116934673332934,0.022931561644790578
1.1347,0.9232,1.5595555555555554,1.295294117647059,0,1.0,1,0.0,-4.538554077449505,-0.33334808218119255,2.3419683583190274,1.941090167085277,2.056004713202614,0.007750027647058936
1.1342,0.9227,1.555222222222222,1.295294117647059,0,1.0,1,0.0,-4.655440079688461,-0.3392890570372193,2.294620913795486,1.9318995650643793,2.051642679869281,0.008884477647058828
1.1339,0.924,1.5511111111111109,1.299294117647059,0,1.0,1,0.0,-5.024433708418955,-0.33570723603982117,2.237946487761783,1.9149819577118863,2.0501288287581696,0.013564907647059109
1.1331,0.9231,1.577888888888889,1.2963529411764707,0,1.0,1,0.0,-4.223490242597963,-0.2968389075015141,2.5494032917128373,1.996142369514377,2.0740064400653595,0.012437331176470633
1.1333,0.926,1.5723333333333334,1.2922352941176471,0,1.0,1,0.0,-4.08600728376725,-0.3292826120740765,2.5478712631662357,1.9564059007180306,2.0620044274509803,0.007866404117647326
1.133,0.9264,1.5684444444444443,1.2902352941176471,0,1.0,1,0.0,-4.056297612639228,-0.34393092789198926,2.5220423487685104,1.9414425856977553,2.0554909385620914,0.006546294117647203
1.1283,0.9383,1.6076666666666668,1.3058823529411767,0,1.0,1,0.0,-4.171383657275176,-0.2541273745899555,3.1229536645969964,1.9783633476540767,2.0956329096078434,0.032821462941176625
1.1285,0.9381,1.6011111111111112,1.31,0,1.0,1,0.0,-4.536235946704944,-0.24992798268502842,2.940747168143955,1.9648059224572825,2.093556961111111,0.036487749999999895
1.1268,0.9395,1.5945555555555555,1.299764705882353,0,1.0,1,0.0,-4.115788166824031,-0.29982067050189826,2.9966675599503736,1.931169624390998,2.0739488614379082,0.030086465882352788
1.1697,1.0244,1.6688,1.3406,1,465.9,16,2.7,-3.5584585995490876,-0.2956427875631522,8.662909462650898,1.8095951043055214,2.15884068,-0.02759809
1.1697,1.0231,1.664,1.3394,1,465.9,16,2.7,-3.591937376725183,-0.3026174152848739,7.87203325885924,1.8069049504091257,2.15392007,-0.028798090000000064
1.1694,1.0249,1.6588,1.3368,1,465.9,16,2.7,-3.5490103204733585,-0.32135603507507055,7.57868199151452,1.7989532225052622,2.14431806,-0.030696360000000093
1.1713,1.0101,1.6529,1.3322,1,465.9,16,2.7,-3.513194289810818,-0.3088622892212915,6.075475672190256,1.8158283670230755,2.1480301300000004,-0.03974368999999999
1.1705,1.0092,1.6481,1.331,1,465.9,16,2.7,-3.555907975711606,-0.31668055032576337,5.718726324464233,1.8115494152707352,2.1419686,-0.03907025000000035
1.1708,1.0083,1.6428,1.3278,1,465.9,16,2.7,-3.496105490668479,-0.3316665377724776,5.439915245617657,1.8068958962312223,2.1345176400000003,-0.042972639999999986
1.1738,1.0227,1.6395,1.3252,1,465.9,16,2.7,-3.2822304273827774,-0.37775580648985335,6.005720594911743,1.7859461873685192,2.11974526,-0.05260644000000007
1.1736,1.0215,1.6355,1.3243,1,465.9,16,2.7,-3.3174607142111228,-0.38310178479770984,5.664140649848049,1.7835530811549252,2.1156324,-0.05303695999999985
1.1735,1.02,1.6301,1.3217,1,465.9,16,2.7,-3.2989411289941213,-0.39458229607935524,5.31835599072948,1.7797739906354724,2.1087700000000003,-0.0554022499999998
1.1846,1.042,1.5776,1.289,0,73.6,10,6.0,-2.3790428005191764,-0.5948816790145159,3.834109316677261,1.736790600989275,2.0169531999999997,-0.11427716000000021
1.1843,1.0411,1.5732,1.2881,0,73.6,10,6.0,-2.414328430363813,-0.6014328318651092,3.6722683940006244,1.733781118412323,2.01207473,-0.11446648999999971
1.1837,1.0394,1.5686,1.287,0,73.6,10,6.0,-2.454114839642508,-0.6074517106604501,3.5124803532824256,1.730176567771649,2.00713778,-0.11414569000000008
1.1852,1.0366,1.5436,1.2739,0,73.6,10,6.0,-2.266508297013457,-0.6683828091547787,2.914838074241099,1.714261156537754,1.9728783200000002,-0.13079904000000003
1.1845,1.0375,1.5389,1.2708,0,73.6,10,6.0,-2.2111293803346967,-0.6827753532771169,2.841381134273322,1.7103135277190151,1.96361875,-0.13224025000000045
1.1855,1.0397,1.5354,1.2677,0,73.6,10,6.0,-2.1080876909041946,-0.697615988602071,2.793390182716256,1.709380014818275,1.95626435,-0.13771025000000003
1.1866,1.039,1.528,1.2587,0,73.6,10,6.0,-1.8409421607480965,-0.7268611992951437,2.6821053309883096,1.704116331692927,1.9415774000000001,-0.14931956000000038
1.1869,1.0379,1.5229,1.2553,0,73.6,10,6.0,-1.7771297994331539,-0.7399663394369775,2.5938399760362354,1.7005860265700266,1.93428351,-0.15343161000000022
1.1873,1.0368,1.5187,1.2556,0,73.6,10,6.0,-1.8423414365397126,-0.7439809040608734,2.509805056152813,1.6986764051169014,1.93169264,-0.1540812900000001
1.1951,1.0684,1.759777777777778,1.3105882352941178,0,92.6,11,8.2,-1.0299137661932087,-0.3691132094163628,-4.002348537817255,1.8449794349170292,2.210410853071896,-0.1176757747058824
1.1943,1.0672,1.7534444444444444,1.3249411764705885,0,92.6,11,8.2,-1.4477879153668256,-0.3372429980030385,-5.011173486666069,1.8470360352767232,2.2185425809150328,-0.10141131352941121
1.1945,1.0682,1.7472222222222222,1.3229411764705885,0,92.6,11,8.2,-1.4365629311535641,-0.3515791844803419,-5.3308589184453306,1.8430820512817627,2.2097282986928106,-0.10388907352941117
1.1984,1.0838,1.7713333333333334,1.3192941176470587,0,92.6,11,8.2,-1.0453977385937583,-0.3653188114289044,-3.403484827041351,1.8550201718719226,2.221853370980392,-0.11686844235294097
1.1977,1.0868,1.7666666666666666,1.3192941176470587,0,92.6,11,8.2,-1.0673215161682537,-0.3755723579513143,-3.5013479913915484,1.8526109741517574,2.214021144313725,-0.11519117235294121
1.1982,1.0876,1.7586666666666666,1.3171764705882352,0,92.6,11,8.2,-1.0638221569827877,-0.3909658081874761,-3.747489800469415,1.849509467563962,2.2038054572549015,-0.11850676941176475
1.2063,1.0938,1.7585555555555554,1.3185882352941176,0,92.6,11,8.2,-0.9876634625840381,-0.4022539256623486,-3.6906411490137643,1.8614610440343236,2.208994730849673,-0.13657145470588225
1.2058,1.0977,1.7523333333333333,1.3103529411764705,0,92.6,11,8.2,-0.8288861192454318,-0.4340521784813381,-3.6392254945072366,1.8577188155095556,2.1908929345098036,-0.14360069882352947
1.2047,1.0952,1.7467777777777778,1.3205882352941178,0,92.6,11,8.2,-1.123587251286455,-0.4119734782693015,-4.268396246659598,1.8566507814356257,2.196353453071896,-0.1307138547058825
1.1612,1.0524,1.6434,1.3371,1,185.9,20,4.7,-3.729178756289903,-0.3972652439810559,8.198642949068905,1.7612811330806548,2.09774688,-0.01128544000000009
1.1609,1.0556,1.6394,1.3347,1,185.9,20,4.7,-3.6625049630533804,-0.41497476051174453,8.069822061880048,1.7574419385156128,2.0883460400000002,-0.012988810000000198
