A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10
1.1333,0.926,1.5723333333333334,1.2922352941176471,0,1.0,1,0.0,-0.15508198072449897,1.5723333333333334,3.3033290867002765,0.38811810378826217,-2.002447427239258,12.86841932760692,50.3592986064488,1.2922352941176471,0.11347040221394078,4.375918149495747
1.133,0.9264,1.5684444444444443,1.2902352941176471,0,1.0,1,0.0,-0.1542912092639459,1.5684444444444443,3.3147203231818883,0.38979165844164765,-1.9826606249074017,12.889938998200934,50.46201124496418,1.2902352941176471,0.09975230301218252,4.373887544779606
1.1283,0.9383,1.6076666666666668,1.3058823529411767,0,1.0,1,0.0,-0.18655185332924296,1.6076666666666668,3.175513919044898,0.39688475782489696,-2.051355797538813,13.274332876611876,52.23838752137478,1.3058823529411767,0.6621471145410642,4.394087422514872
1.1285,0.9381,1.6011111111111112,1.31,0,1.0,1,0.0,-0.17631434104395405,1.6011111111111112,3.2124557174658666,0.4011470538656058,-2.04370160800024,13.24213433177888,51.171845686231826,1.31,0.5311862513289651,4.398280460788658
1.1268,0.9395,1.5945555555555555,1.299764705882353,0,1.0,1,0.0,-0.18300053112857184,1.5945555555555555,3.2117823855951886,0.4027134764741188,-1.9881993737994927,13.360334511994772,52.44486256957354,1.299764705882353,0.6212603057303934,4.38714177368498
1.1697,1.0244,1.6688,1.3406,1,465.9,16,2.7,-0.3142218622758213,1.6688,2.929908388967663,0.45655501474036514,-1.9484708341188712,13.97348384672436,70.75411401745514,1.3406,9.760760103299695,4.555780114559289
1.1697,1.0231,1.664,1.3394,1,465.9,16,2.7,-0.30988365887027136,1.664,2.9455774327076534,0.45658801935652216,-1.9387889438769963,13.94378311383166,70.3057863709025,1.3394,8.618255840322242,4.5534687184748215
1.1694,1.0249,1.6588,1.3368,1,465.9,16,2.7,-0.31008837306542847,1.6588,2.9564599803554255,0.4602849503259543,-1.9121238223360406,13.998256455353943,71.00508156303549,1.3368,9.575359523239399,4.552032358474431
1.1713,1.0101,1.6529,1.3322,1,465.9,16,2.7,-0.29367844452533665,1.6529,2.982905648337568,0.4408970966117742,-1.9545244297391227,13.621876743499103,67.94633375199459,1.3322,4.406639353042757,4.537175138734739
1.1705,1.0092,1.6481,1.331,1,465.9,16,2.7,-0.2895326033251413,1.6481,2.998709775492142,0.4420882649013325,-1.9414197629807488,13.623857204611678,67.55662122163847,1.331,4.154389311598036,4.534195642887655
1.1708,1.0083,1.6428,1.3278,1,465.9,16,2.7,-0.2873918273719003,1.6428,3.0119400568870005,0.4416729397110242,-1.9253492800631102,13.601805274325518,67.70431646998343,1.3278,3.9451195530394703,4.530606012982576
1.1738,1.0227,1.6395,1.3252,1,465.9,16,2.7,-0.3044460352842866,1.6395,3.0036579230003504,0.4574650992867807,-1.8568391524985028,13.844785286955949,72.25967378532802,1.3252,7.335413902012407,4.5440727892315556
1.1736,1.0215,1.6355,1.3243,1,465.9,16,2.7,-0.3004880164435637,1.6355,3.018015426898003,0.4577003720479415,-1.8488797025445745,13.822689631940152,71.79711959127215,1.3243,6.636111128817056,4.541898773006135
1.1735,1.02,1.6301,1.3217,1,465.9,16,2.7,-0.29682943016050345,1.6301,3.034328118217626,0.45736748254778437,-1.8355283050294817,13.795751884110535,71.61916209367159,1.3217,6.016691795871251,4.537894716659565
1.1846,1.042,1.5776,1.289,0,73.6,10,6.0,-0.31297320775676085,1.5776,3.1611546347521418,0.4922936057308167,-1.5810041838485474,14.022138140505525,87.46188839013544,1.289,23.059687844120656,4.537821813270303
1.1843,1.0411,1.5732,1.2881,0,73.6,10,6.0,-0.30887873154891277,1.5732,3.1797809642347517,0.4939633668503442,-1.5705095883925118,14.00871592807088,86.94684358243951,1.2881,18.69635890104342,4.535784691378874
1.1837,1.0394,1.5686,1.287,0,73.6,10,6.0,-0.3038675125524426,1.5686,3.199677835579116,0.4948462799316047,-1.5613224032078545,13.986700040641875,86.10715897334482,1.287,14.527812460952196,4.532494111683704
1.1852,1.0366,1.5436,1.2739,0,73.6,10,6.0,-0.2927678695001201,1.5436,3.2923890912305542,0.5017363687623229,-1.4858764795910053,13.894102312517068,88.52630604425623,1.2739,9.123407766641398,4.518920317246034
1.1845,1.0375,1.5389,1.2708,0,73.6,10,6.0,-0.29270658791919346,1.5389,3.3085930594339836,0.5062919538230995,-1.465378903261109,13.93951772220376,89.94048511786808,1.2708,10.07770511539864,4.515697002954834
1.1855,1.0397,1.5354,1.2677,0,73.6,10,6.0,-0.2956090801021032,1.5354,3.3183482279185257,0.510176749300039,-1.4460740571877586,13.96499885837719,92.51986191736862,1.2677,12.134577145425228,4.515713918177983
1.1866,1.039,1.528,1.2587,0,73.6,10,6.0,-0.2984144672234281,1.528,3.3372663457494136,0.509861063491753,-1.416387531731512,13.93722268008447,96.73071678950517,1.2587,12.489637284036137,4.5075109893814265
1.1869,1.0379,1.5229,1.2553,0,73.6,10,6.0,-0.2963596427486217,1.5229,3.357320533579235,0.5106931476319801,-1.4013995556536847,13.908552771613742,97.62937565312686,1.2553,10.958320457449979,4.50356288651108
1.1873,1.0368,1.5187,1.2556,0,73.6,10,6.0,-0.29093015325907823,1.5187,3.38104236684292,0.5124976189850942,-1.394337988532929,13.86595728700906,96.31185075695815,1.2556,8.694266355747635,4.503441809146803
1.1951,1.0684,1.759777777777778,1.3105882352941178,0,92.6,11,8.2,-0.4861186905744803,1.759777777777778,2.5330354023485033,0.4343125108530638,-2.0203736197199422,14.45128270891178,113.8740475658981,1.3105882352941178,-7.139977763195866,4.5947720023429
1.1943,1.0672,1.7534444444444444,1.3249411764705885,0,92.6,11,8.2,-0.46145550488607534,1.7534444444444444,2.5821668547448366,0.44318173315227255,-2.029903362909608,14.383762198025394,103.93890449996523,1.3249411764705885,-8.176420577602599,4.607119004486999
1.1945,1.0682,1.7472222222222222,1.3229411764705885,0,92.6,11,8.2,-0.459352334293593,1.7472222222222222,2.5951647246031975,0.44551869304175706,-2.007263336458407,14.40050563705252,104.7626132429519,1.3229411764705885,-8.065988823873802,4.60620655947603
1.1984,1.0838,1.7713333333333334,1.3192941176470587,0,92.6,11,8.2,-0.5032773299230673,1.7713333333333334,2.5041949108941757,0.4485303528772281,-2.018484580876511,14.68145116490657,120.14116168197272,1.3192941176470587,-6.023734898759679,4.620466614309275
1.1977,1.0868,1.7666666666666666,1.3192941176470587,0,92.6,11,8.2,-0.5017972975291132,1.7666666666666666,2.5145387818471705,0.45417074715613126,-1.9955287667796238,14.76359750355698,121.38031186991665,1.3192941176470587,-5.852876961573845,4.62209997888109
1.1982,1.0876,1.7586666666666666,1.3171764705882352,0,92.6,11,8.2,-0.4981199557426135,1.7586666666666666,2.532246563079185,0.45673066570310855,-1.970190651110337,14.765131947979729,122.36103823458807,1.3171764705882352,-5.843227563977881,4.621271346235038
1.2063,1.0938,1.7585555555555554,1.3185882352941176,0,92.6,11,8.2,-0.5059481760874576,1.7585555555555554,2.529980862642753,0.45796527329956044,-1.9670015160822507,14.662455071569998,127.19598203980775,1.3185882352941176,-5.711986836103781,4.637927852304811
1.2058,1.0977,1.7523333333333333,1.3103529411764705,0,92.6,11,8.2,-0.5140361799921098,1.7523333333333333,2.5279815935692005,0.46096771143925563,-1.925917959728333,14.787071136567391,136.3213319098354,1.3103529411764705,-5.3799305421607855,4.632302916296723
1.2047,1.0952,1.7467777777777778,1.3205882352941178,0,92.6,11,8.2,-0.4935075359417682,1.7467777777777778,2.567213741027903,0.4667560146389023,-1.932801469315159,14.716994771440586,124.59433161579068,1.3205882352941178,-5.740846109907181,4.6390942367882655
1.1612,1.0524,1.6434,1.3371,1,185.9,20,4.7,-0.32382246109131696,1.6434,2.987549601381213,0.5133541392923362,-1.7560018324712,14.880375719132008,77.01121271937394,1.3371,-22.82937371440589,4.565803823630727
1.1609,1.0556,1.6394,1.3347,1,185.9,20,4.7,-0.3261693293192214,1.6394,2.9946356000466445,0.5194357844779924,-1.731277641510529,14.973716865717886,78.45562620329825,1.3347,-17.186532935130604,4.56579451287794
1.16,1.0564,1.6328,1.3326,1,185.9,20,4.7,-0.3232488114581915,1.6328,3.0148850744941553,0.5246428179173532,-1.707489382025402,15.02521601531773,78.70897486361984,1.3326,-16.30449995624495,4.563289655172414
1.1569,1.0198,1.6232,1.3326,1,185.9,20,4.7,-0.2747469866889234,1.6232,3.0867147904023193,0.4815303709299859,-1.8067779616751063,14.237473778451673,66.73608711655805,1.3326,6.3434734168328815,4.527893646814764
1.1566,1.021,1.6185,1.3296,1,185.9,20,4.7,-0.27509900328657766,1.6185,3.097319132969787,0.4846648073089054,-1.7841187878578992,14.282503148428985,67.38089372984479,1.3296,6.824263746888442,4.52555981324572
1.1568,1.0192,1.6132,1.3279,1,185.9,20,4.7,-0.2703312274441425,1.6132,3.1165262821544033,0.484217262309321,-1.7745542937024326,14.23547807068599,66.91736258721342,1.3279,5.903906417371338,4.522551175656985
1.1564,1.0098,1.6042,1.325,1,185.9,20,4.7,-0.2548958541568105,1.6042,3.1558909988061172,0.4753644540404135,-1.7820433672398,14.029892930261454,64.50375778443727,1.325,3.5686674964544074,4.511027257004497
1.1552,1.009,1.5983,1.3219,1,185.9,20,4.7,-0.2518482649572409,1.5983,3.1740496070072126,0.47736425708485714,-1.7620087599966454,14.054161489706932,64.48000183260709,1.3219,3.455615606026436,4.505741828254847
1.1558,1.0104,1.5924,1.3186,1,185.9,20,4.7,-0.2518920754623626,1.5924,3.1900114248908347,0.4807180205014561,-1.736123057827796,14.075568778901543,65.19741637056005,1.3186,3.557698371743903,4.5043996885274264
1.1583,1.0365,1.5299,1.2782,0,54.8,19,4.9,-0.2688787330840834,1.5299,3.371956964711356,0.5478000905669328,-1.42780133550201,14.707124992473002,81.34874360518586,1.2782,21.030516797889014,4.489645894845895
1.1575,1.0363,1.5263,1.2755,0,54.8,19,4.9,-0.26814325494165847,1.5263,3.384887275018695,0.5506879318956048,-1.4146218782427915,14.735481894662382,81.95575172871013,1.2755,22.219100517049675,4.485791576673866
1.1578,1.035,1.5215,1.2735,0,54.8,19,4.9,-0.26462136528908675,1.5215,3.406596958723318,0.5518481806704234,-1.4037033661055154,14.696228979845305,81.80587942372122,1.2735,16.845370256892874,4.483036776645362
1.162,1.0442,1.5272,1.2807,0,54.8,19,4.9,-0.2728398335239326,1.5272,3.387522200266521,0.5611504852566661,-1.4065824597944876,14.757558059832142,83.81247722621009,1.2807,57.46226560572274,4.503323063683304
1.1627,1.0448,1.5226,1.278,0,54.8,19,4.9,-0.2723878464628162,1.5226,3.405708972972516,0.5648196521305252,-1.3903198159842207,14.753695677273512,84.94661998605194,1.278,62.24862504514901,4.501998090651071
1.1614,1.0453,1.517,1.279,0,54.8,19,4.9,-0.26644806088715955,1.517,3.4380176255182313,0.5742875576099167,-1.374859362314152,14.800032316976523,83.91063630845518,1.279,49.255602870287554,4.501834441191665
1.1685,1.0594,1.516,1.2729,0,54.8,19,4.9,-0.28867873975241376,1.516,3.4239821922534035,0.5899121902372688,-1.3340463059401002,14.922683234678125,95.50851077279862,1.2729,-18.284933943128788,4.5165324347454
1.1694,1.0614,1.5117,1.2706,0,54.8,19,4.9,-0.2895446067996701,1.5117,3.4422775699194066,0.5967488519354742,-1.3160776453460774,14.944160196292,97.79147870232325,1.2706,-16.123921923142525,4.5170449461262185
1.1681,1.0596,1.5066,1.2679,0,54.8,19,4.9,-0.2856141159509378,1.5066,3.466042378645394,0.60007323349742,-1.3031341776299925,14.948993668687763,97.53080745234071,1.2679,-17.908342774163508,4.5112141169420426
1.14268899134514,1.04797451155663,1.48915101090723,1.27414552676882,1,332.9,14,2.1,-0.24513325322120516,1.48915101090723,3.58593381313351,0.6430042213355774,-1.2745509676942608,15.526098469265177,81.71033736056492,1.27414552676882,-38.08229838454455,4.4766361442128355
1.14090133462752,1.04556853530839,1.48198466702635,1.26309056702629,1,332.9,14,2.1,-0.247442038301128,1.48198466702635,3.606170902012657,0.645832884885032,-1.247653897089909,15.568580293890559,84.84018462807727,1.26309056702629,-30.972559819424355,4.4613340393326695
1.14193629377983,1.04737301749457,1.4747420854446,1.27414552676882,1,332.9,14,2.1,-0.23143219163724593,1.4747420854446,3.675032630867808,0.6665061452713352,-1.2401976236517238,15.526163937201813,79.80121932103964,1.27414552676882,-355.9112408289974,4.475208524336157
1.15237997249858,1.06619118886477,1.67189277986974,1.29085079926863,1,332.9,14,2.1,-0.4117091884054209,1.67189277986974,2.7710617043387136,0.4992437354426092,-1.7045126095857588,15.747156704021972,105.91863413420887,1.29085079926863,-6.177668165387347,4.5208187609871
1.15256814688991,1.06378521261652,1.66266801806562,1.27697068314746,1,332.9,14,2.1,-0.4172313764621147,1.66266801806562,2.776319899336054,0.4936200549496603,-1.6704573696541165,15.729736903924048,112.27578151033065,1.27697068314746,-6.081444716946231,4.505076447745156
1.15162727493327,1.06292593538501,1.65435810867183,1.28802564288998,1,332.9,14,2.1,-0.39571598142093656,1.65435810867183,2.830622452213774,0.5045327191019024,-1.6662476288350558,15.684917355955395,103.23663963435543,1.28802564288998,-6.574661277011779,4.514257581813757
1.15567302434684,1.04969306601967,1.53283521350027,1.28937680463629,1,332.9,14,2.1,-0.27292285681248285,1.53283521350027,3.3743197583220983,0.5785854413656416,-1.4105682911667587,15.081334931728048,82.1081325596691,1.28937680463629,-44.51968925704171,4.509018750097944
1.15539076275985,1.05166940365215,1.52444906640562,1.27279436502251,1,332.9,14,2.1,-0.2852071855093554,1.52444906640562,3.3810225620183383,0.5831252488380281,-1.3622705022005337,15.19580042860738,90.10212765954411,1.27279436502251,-17.76498291652538,4.493804219821956
1.15557893715118,1.05063827097433,1.51613915701183,1.28114700127241,1,332.9,14,2.1,-0.2676562144439467,1.51613915701183,3.444982767888196,0.5952394500092716,-1.3554886041880627,15.12314841672147,84.45509585359815,1.28114700127241,-40.09781848609048,4.501492675037818
1.11690909973307,1.02253990550377,1.42412025207326,1.27549668851512,0,33.0,18,0.9,-0.15476469436667029,1.42412025207326,4.03113435734435,0.7542829491503436,-1.159385473310553,15.799469821224568,62.515384633010505,1.27549668851512,2.260631466529116,4.424823505243083
1.11606231497209,1.02168062827225,1.4167251950898,1.27832184489377,0,33.0,18,0.9,-0.14451904134866278,1.4167251950898,4.0935668642355845,0.7744484576412095,-1.1462677558496563,15.793948725450063,60.78306243255194,1.27832184489377,1.5248268222237877,4.425879793001551
1.11719136132007,1.02168062827225,1.41032122821752,1.26714405226522,0,33.0,18,0.9,-0.1499411362094032,1.41032122821752,4.1184355778204,0.7850761405640275,-1.1182533512981747,15.790262234347912,63.60857488238759,1.26714405226522,1.866473636547762,4.416034945703454
1.14297125293213,1.05235682543736,1.45705493884498,1.26124807373587,0,33.0,18,0.9,-0.23430963843630925,1.45705493884498,3.762112473224398,0.7051270529426595,-1.1703683787786838,15.652542084530962,86.82716444920308,1.26124807373587,-26.126277818760595,4.46791087132898
1.14334760171479,1.05089605414379,1.44981235726324,1.27242586636442,0,33.0,18,0.9,-0.21476551788607057,1.44981235726324,3.8358999048553755,0.7212732451927739,-1.1700284620909995,15.549877559987298,79.7427525800858,1.27242586636442,56.39331758823632,4.478260667032547
1.14250081695381,1.05072419869748,1.44226482487805,1.26960070998578,0,33.0,18,0.9,-0.2105334453498411,1.44226482487805,3.8830575288983327,0.7385159381665012,-1.148033996798461,15.582343355735082,80.05650617334449,1.26960070998578,43.79255004200451,4.474272757345682
1.1472992639327,1.04866193334185,1.46597474984565,1.2745140254269,0,33.0,18,0.9,-0.2255892843632763,1.46597474984565,3.7318934181873766,0.675706146249844,-1.2205392623381968,15.349766166729296,80.05322977529028,1.2745140254269,39.046384826115094,4.483139055625491
1.14720517673704,1.04737301749457,1.45880840596477,1.29121929792671,0,33.0,18,0.9,-0.20078577754276794,1.45880840596477,3.8163759426690804,0.6945563130173519,-1.226816057226925,15.250444231524934,71.99637820247843,1.29121929792671,7.441502566924077,4.498607590075701
1.14626430478039,1.04754487294088,1.45126087357958,1.27733918180555,0,33.0,18,0.9,-0.20810006720140062,1.45126087357958,3.836982934035948,0.7048113659516475,-1.1897705560753549,15.335660568623927,76.66781341420572,1.27733918180555,12.314835736172737,4.483745043385947
1.1713,1.0246,1.76977777777778,1.31,0,42.0,7,1.9,-0.4392196639049213,1.76977777777778,2.5479793149518057,0.40205395704559843,-2.1665383365328137,14.161413995284459,90.79364981495033,1.31,-19.549401097770293,4.527354546230684
1.1705,1.0242,1.76266666666667,1.31811764705882,0,42.0,7,1.9,-0.4224202231384362,1.76266666666667,2.5855373989907564,0.40829386441024534,-2.1624627110582963,14.134015834650972,86.7151636156479,1.31811764705882,-28.516800866972773,4.534128326255745
1.1709,1.0242,1.75644444444444,1.312,0,42.0,7,1.9,-0.4243125980539204,1.75644444444444,2.5898316056904616,0.40720507743613654,-2.135468363643658,14.140673510752762,88.36735752500613,1.312,-25.595600251987534,4.5285117601844735
1.1822,1.0544,1.78488888888889,1.31682352941176,0,42.0,7,1.9,-0.48120700808637396,1.78488888888889,2.490365942218056,0.42329230493763814,-2.121109478432142,14.514487261877914,104.0604344531549,1.31682352941176,-8.08513836054809,4.573119993631012
1.1805,1.0523,1.77855555555556,1.32294117647059,0,42.0,7,1.9,-0.4652299685109662,1.77855555555556,2.52233116627744,0.4274761536746108,-2.119377532174586,14.483642072262109,99.0765690084608,1.32294117647059,-8.977285080459428,4.575343124797571
