B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
10691,9825,8884,8696,10751,11986,10649,1,111408709,-5133220961976858941,-932987239710.4286,1.0,-4610835933112.012,7.292989336405081e-12,8884,1467156005298.0798
10594,9861,9092,9004,11531,12561,11246,1,125493257,-5742475368405913324,-949631732092.4725,1.0,-5297740595591.901,5.020707267373417e-12,9092,1699275015581.3489
10671,9826,8933,8773,11402,12534,10623,1,111158019,-6206954395910278339,-936473108869.5417,1.0,-5123626446247.137,5.641406756504445e-12,8933,1537032977582.1917
10612,9826,9023,8884,11301,12019,10898,1,117261538,-4878524764307885481,-940675732297.0068,1.0,-4986622643391.111,6.354915085378307e-12,9023,1578544269597.8774
10533,9744,8935,8758,11097,11779,10483,1,108047295,-4325921945401874969,-916852233105.8,1.0,-4760869090914.116,7.227941604246762e-12,8935,1437587490394.1343
10571,9796,8981,8798,11051,11913,10779,1,114224065,-4565478339014139019,-929831545488.4421,1.0,-4781264086559.784,6.841924365972558e-12,8981,1511297274716.3745
10668,9803,8894,8751,11794,12421,10301,1,104646807,-6238788886343200978,-929938665462.1606,1.0,-5311168011994.417,5.7674655592356885e-12,8894,1501086709239.2166
10656,9868,9053,8946,11534,12691,11336,1,127302358,-6406983719774382883,-951768002005.9941,1.0,-5303000931693.807,4.8987702636817845e-12,9053,1744621872668.1082
10672,9890,9073,8969,11545,12479,11054,1,121051433,-5858198327304737207,-957432820950.5549,1.0,-5284299816195.553,5.355173652787067e-12,9073,1659310889931.4275
10679,9931,9228,9224,12132,12982,11094,1,123042847,-6405963329083626750,-978467996857.8483,1.0,-5912973557756.96,4.260566739976116e-12,9228,1727952203500.7593
10682,9798,8891,8734,11604,12230,10319,1,104870933,-5836497576476256721,-930370591493.5208,1.0,-5149320133822.406,6.228506448748998e-12,8891,1484516087763.717
10636,9772,8863,8690,11287,12088,10309,1,104501251,-5378868453532176749,-920995676204.049,1.0,-4914967694117.142,6.704771713366232e-12,8863,1439491761440.132
10639,9787,8843,8633,10753,11911,10500,1,108054346,-4951095298265205157,-920587919984.2661,1.0,-4559155006072.87,7.53122747190188e-12,8843,1426295223538.392
10652,9800,8870,8640,10467,11786,10572,1,109345036,-4550083848880407130,-925756114789.0,1.0,-4393011509532.901,8.114803934445703e-12,8870,1404895660452.4302
10656,9847,8939,8734,10785,12062,10717,1,112666708,-5013553657532279727,-937781558289.9344,1.0,-4657612112637.604,6.996327118563418e-12,8939,1476630672800.2505
10669,9839,8912,8714,10755,11878,10681,1,111978479,-4817533160960754331,-935323195449.6667,1.0,-4594342133959.32,7.58128255636284e-12,8912,1468868042403.7583
10647,9811,8915,8756,12180,12416,10187,1,102164368,-6233822694723868757,-931058563943.4457,1.0,-5527521043897.115,5.588147307724288e-12,8915,1509544107280.5093
10696,9836,8897,8738,10936,12222,10531,1,109236965,-5560929970149641479,-935834325115.0425,1.0,-4790258744729.13,6.652335031317533e-12,8897,1458060453121.863
10636,9778,8846,8617,11981,12523,10166,1,101028547,-6515944724861311474,-919793760769.4425,1.0,-5357492284372.751,5.623067719544235e-12,8846,1488759934420.6755
10625,9760,8839,8611,11444,12597,10569,1,109303449,-6527006010931402361,-916426526954.4285,1.0,-5060288568384.216,5.55622803151629e-12,8839,1536637578842.912
10640,9778,8812,8583,10493,11864,10512,1,108104213,-4835793090664533140,-916603278472.1875,1.0,-4391615356125.458,7.896667369788338e-12,8812,1400030563776.0872
10711,9841,8909,8689,10565,11835,10524,1,108448668,-4663248668635822027,-938888629736.0801,1.0,-4489274704082.164,8.03860333841338e-12,8909,1406799614351.5366
10673,9825,8883,8718,10763,12120,10502,1,108568569,-5264146009347034617,-931309457962.8947,1.0,-4665370481812.891,7.004155607573243e-12,8883,1426278105505.1218
10662,9813,8894,8749,10984,12110,10614,1,111127516,-5370172510658911954,-930365133415.125,1.0,-4787490862233.501,6.7324312662222075e-12,8894,1483406726176.115
10624,9769,8849,8733,11278,12429,10449,1,107978930,-6087048670956669676,-918220775253.4628,1.0,-5012378351296.034,5.9148365597907326e-12,8849,1478343702196.0303
