B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11
10301,9403,8342,7969,8694,9482,9403,1,-9.83711968385076e-08,-751932642646390.2,-4384.506642804566,1133250777094.513,-0.9999635465582232,5.267019167217449,-56795.070720423,-4951.167217448778,9403.0,-81749681.99948868,-9973.375071264827
10289,9416,8354,7977,8731,9480,9421,1,-1.0083138519023192e-07,-733233009340889.2,-4411.5965027993225,1144058851880.3713,-0.9999638331160885,5.307385229540918,-57188.49367930805,-4852.323353293413,9416.0,-82254750.99948417,-10030.828273473426
10294,9427,8354,7980,8787,9671,9550,1,-9.803260797626726e-08,-753910760151808.9,-4499.492757784299,1035536997456.764,-0.9999633921141756,4.719101123595506,-50855.16026020107,-4283.21584861029,9427.0,-83915849.99954157,-10310.857154913001
10274,9389,8349,7921,8676,9415,9422,1,-9.986757694797905e-08,-736187822373591.1,-4388.974709731561,1123239067896.0442,-0.9999638204663296,5.301874163319947,-57414.74297188755,-4945.692771084337,9389.0,-81745271.99948396,-10083.105449299552
10323,9452,8428,8123,9087,9895,9692,1,-9.612831467579474e-08,-788544272878381.5,-4696.386641334999,962502919566.921,-0.9999647188190881,4.584085778781039,-49098.33182844244,-4142.656884875846,9452.0,-88071203.99955593,-10446.13151819328
10253,9417,8368,8015,8845,9736,9558,1,-1.0123102652694468e-07,-731644936735877.9,-4539.566358833076,992320894362.7286,-0.9999635617454825,4.6571760604299826,-49853.052876234746,-4064.873910517141,9417.0,-84540509.99954577,-10323.463390148801
10287,9402,8366,8013,8897,9532,9445,1,-9.949427414293118e-08,-748190472670938.6,-4504.521997183853,1106251536511.738,-0.9999647285284227,5.275181040157999,-56656.38051349572,-4874.20013166557,9402.0,-84032164.9994872,-10027.59738417485
10321,9445,8409,8100,9049,9923,9671,1,-9.518070712807564e-08,-793009279679865.8,-4671.845908218321,942842172663.5726,-0.9999642310730107,4.443225452550741,-47607.94788809655,-4040.7482172243554,9445.0,-87512878.99956949,-10421.769547420701
10299,9407,8392,8081,8955,9583,9316,1,-1.0064440466894895e-07,-748192770842308.9,-4462.877058280263,1093540991754.4341,-0.9999647229106272,5.380159786950732,-57542.7483355526,-4983.797603195739,9407.0,-83424779.99947761,-9674.026934449052
10275,9382,8354,7981,8866,9547,9334,1,-9.94180691523313e-08,-745673262729147.1,-4441.788143149867,1054614741784.1954,-0.999964188667726,5.096424010217114,-54813.122605363984,-4763.807151979566,9382.0,-82755243.999504,-9819.798753904923
10311,9420,8421,8087,8973,9621,9359,1,-1.0016106676037176e-07,-754821613271281.6,-4482.65767277112,1061891159858.732,-0.9999647904225999,5.271838331160365,-56602.95371577575,-4891.206649282921,9420.0,-83978306.99948871,-9758.096657547992
10679,9919,9198,9181,11995,13078,11378,1,-8.163012525751181e-08,-1120141831345752.5,-6865.748370670479,387030068404.8083,-0.9999705222157713,2.3559148062612265,-25205.399538106234,-1793.810623556582,9919.0,-136479109.99977937,-13024.571014372934
10804,10021,9123,8839,10795,11349,10502,1,-9.399377209017294e-08,-933907683955061.0,-5688.754799444795,723711847863.6873,-0.9999696547779445,3.5215139442231074,-39268.8812749004,-2845.9398406374503,10021.0,-113369089.99967405,-11464.41871808691
10792,10014,9185,9026,11345,11892,10637,1,-9.150046493805856e-08,-984145163195304.5,-6040.336777733343,592105914948.0042,-0.9999704879425676,3.1493370551291,-34586.36427076064,-2493.3461270062803,10014.0,-120676764.99970818,-11542.638919379528
10666,9904,9135,8987,11593,12175,10482,1,-9.259855161078595e-08,-961754945943443.6,-6136.523367763871,479124379151.28296,-0.9999702569429866,2.81900878293601,-30562.70702634881,-2183.4598494353827,9904.0,-121517825.9997357,-11271.932286220197
10681,9904,9098,8964,11433,11957,10460,1,-9.220770099033381e-08,-961130329105461.0,-6045.832244664333,532902435986.31274,-0.9999702583950477,2.994988306047444,-32467.670564650853,-2361.8930838623455,9904.0,-119589179.99971959,-11233.896191186956
10683,9937,9201,9194,11850,12716,11118,1,-8.739297070745463e-08,-1046513687068053.2,-6625.407954505114,432483610593.517,-0.9999707629610155,2.610448608745031,-27908.655025553664,-1948.8773424190802,9937.0,-131748299.99975565,-12437.43787165924
10769,9987,9105,8761,10910,11487,10543,1,-9.199232277606003e-08,-944524633979077.9,-5787.207594355276,651308410126.2821,-0.9999695729578219,3.2138664710198093,-35969.09207630227,-2611.9258987527514,9987.0,-115024129.99970156,-11649.748140734706
10810,10000,9078,8745,10584,11537,10869,1,-8.551325294491452e-08,-1014349086391197.6,-5783.792991083777,676290691005.3352,-0.9999684569054024,3.132163323782235,-35147.98710601719,-2633.660458452722,10000.0,-115037495.99971025,-12365.705468883862
10704,9967,9190,9084,11496,12188,10775,1,-9.369640725803488e-08,-963270552629628.9,-6226.027370626348,510751843600.6862,-0.9999704557051655,2.926546391752577,-31691.288659793816,-2182.0328608247423,9967.0,-123869399.9997266,-11823.524937917417
10666,9941,9229,9255,12120,12769,10829,1,-9.255824925193389e-08,-995107629446585.5,-6596.584535846635,414255272468.78,-0.9999712364298207,2.6337507114399545,-28012.66761525327,-1904.1050085372794,9941.0,-131247479.99975307,-11751.99789763775
10681,9907,9165,9073,11811,12981,11200,1,-8.106484211064814e-08,-1113278613134970.2,-6665.053524417501,392299729253.9086,-0.999969680571809,2.3216479017400204,-25048.967502558855,-1815.1765609007164,9907.0,-132283199.99978264,-12740.759044897077
10678,9923,9166,9079,11905,13547,11744,1,-7.57321763574241e-08,-1190226510506689.0,-7045.1379597800915,359293124160.7086,-0.9999690362173745,2.0320053715308863,-21905.673231871082,-1548.8652641002686,9923.0,-139812319.9998097,-14026.87426481034
10666,9936,9218,9161,11838,13317,11576,1,-8.166138047576935e-08,-1116503755725341.0,-6891.372509779519,365397606127.25073,-0.9999694918392187,2.2042829643888355,-23657.167468719923,-1619.1385948026948,9936.0,-137036687.99979332,-13549.937477858508
10832,9977,9045,8729,10457,11424,10889,1,-8.17965518482321e-08,-1059791373112009.2,-5728.065766222598,706991586619.8256,-0.999968334464386,3.238961038961039,-36354.52319109462,-2869.56400742115,9977.0,-113866272.99970098,-12373.694841866716
10730,9928,9022,8726,10548,11576,10933,1,-8.541935690325543e-08,-1006348199230414.5,-5837.9864044280375,641979726219.1277,-0.999968272975725,3.061754385964912,-33967.03859649123,-2538.822456140351,9928.0,-115321283.99971466,-12547.186918117819
10621,9892,9133,9058,11768,12403,10737,1,-9.321416316056846e-08,-958917271454467.6,-6395.892108767886,454046533171.6963,-0.9999706485127714,2.7079222720478326,-28998.981464872944,-1990.4206278026907,9892.0,-126353015.99974504,-11781.041548925885
10605,9931,9270,9272,12060,12614,10700,1,-1.0221800944847781e-07,-901988020468966.6,-6492.25539078572,401146256294.81146,-0.9999715005903471,2.774386594853381,-29416.023339317773,-1869.5332136445243,9931.0,-129041999.9997384,-11512.942875130384
10639,9849,9123,9068,11890,12720,10841,1,-8.393539022011725e-08,-1071473353052658.4,-6522.168601129382,399210813346.72345,-0.9999702890994883,2.4830230010952903,-26577.10761226725,-1973.4857612267251,9849.0,-128899489.99976662,-11923.819466361521
10631,9875,9116,9060,11735,12946,11229,1,-8.256999053363646e-08,-1083718859849918.4,-6672.595822145507,399466162041.5728,-0.9999695004108051,2.3314462171899124,-24938.804940813174,-1773.4678332475553,9875.0,-131772314.9997807,-12847.255584218756
10675,9950,9228,9263,12095,13011,11243,1,-8.747327123156614e-08,-1053684887979828.1,-6831.909111990788,402163576942.0053,-0.9999709931057261,2.47145144076841,-26283.05763073639,-1785.0320170757736,9950.0,-135984084.9997685,-12657.511055428373
10759,9917,8922,8534,10079,11140,10884,1,-8.273203500680507e-08,-1011127938436393.6,-5573.403124594919,762374373101.3278,-0.9999672737462458,3.274750575594781,-36834.91864927091,-2882.7029930928625,9917.0,-109699835.99969563,-12636.615323828571
10655,9791,8845,8618,10947,11823,10195,1,-8.235491049844129e-08,-1018376311642202.2,-5722.883189654238,555954994743.1779,-0.9999673616996448,2.6889235569422776,-29405.140405616225,-2384.424336973479,9791.0,-111604664.99974763,-10963.436608766082
10599,9732,8759,8469,10100,11323,10330,1,-8.296182531134318e-08,-985682555707701.4,-5389.199373546226,634970418146.3556,-0.9999654852416444,2.967414155571128,-32528.605816398038,-2660.845480028031,9732.0,-104332999.99972002,-11431.748399052572
10651,9912,9171,9115,11806,12836,11245,1,-8.559854384887267e-08,-1055754338046387.8,-6697.093460561856,411545082142.38837,-0.9999702778781412,2.449610319806504,-26251.094060736363,-1821.3837678043537,9912.0,-132758469.99977002,-12834.221947805416
10627,9877,9122,9088,11857,12765,11068,1,-8.587053086519966e-08,-1045087704649014.4,-6644.62565520034,416900077488.34595,-0.9999703345462849,2.471580092466685,-26363.745988577644,-1860.6200707098178,9877.0,-131233275.99976742,-12453.61665068751
10634,9768,8849,8620,10831,11659,10295,1,-8.277753451116987e-08,-1014062746550006.9,-5722.759316825222,570914519649.076,-0.9999677815041468,2.836459361632116,-30964.220467258965,-2521.6301414939126,9768.0,-111505144.99973327,-11174.846259589918
10585,9785,9022,8949,11575,12366,10726,1,-8.482673678367045e-08,-1036883903989607.1,-6331.66535948285,437379113766.09717,-0.9999698686119091,2.6189640035118527,-27947.86947614867,-2112.262218320164,9785.0,-124153449.99975258,-11802.726807057592
10610,9732,8858,8609,12516,12499,9888,1,-7.967533432735088e-08,-1054728501718459.6,-6356.611309985547,414293257053.7938,-0.9999705095959331,2.2131105398457582,-24160.251928020567,-1999.3120822622109,9732.0,-123758207.99979141,-10307.680428053316
