B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6
10276,9373,8318,7930,8676,9430,9336,1,-71.85828433734302,12656862.117111616,-14303926195.107721,-2.2442090568916816e+16,10276.0,-3.924447745583153e+25
10314,9404,8354,7990,8795,9686,9572,1,-56.19413218177223,12869679.75394388,-17927354308.351463,-2.3173405839382696e+16,10314.0,-5.2638183660373976e+25
10301,9403,8342,7969,8694,9482,9403,1,-69.86201222518211,12830436.729640214,-12164959018.694443,-2.2785153015148416e+16,10301.0,-3.9387082694775115e+25
10289,9416,8354,7977,8731,9480,9421,1,-60.41564322258638,12860485.8099218,-9128053076.456467,-2.293322861588766e+16,10289.0,-4.2150691409077915e+25
10294,9427,8354,7980,8787,9671,9550,1,-58.8698581395494,13193819.239516685,-18972147169.574677,-2.314828894358428e+16,10294.0,-5.0921849375249895e+25
10274,9389,8349,7921,8676,9415,9422,1,-58.95224021169827,12542155.151633022,869118193.2275622,-2.2503221889745188e+16,10274.0,-3.6629446392417013e+25
10323,9452,8428,8123,9087,9895,9692,1,-38.619507719021435,12566034.900890658,-33157572387.80105,-2.4592242062833948e+16,10323.0,-8.08469895981163e+25
10253,9417,8368,8015,8845,9736,9558,1,-59.319878959139245,12823448.110957606,-28217702794.00594,-2.3381492676806612e+16,10253.0,-5.528031827262088e+25
10287,9402,8366,8013,8897,9532,9445,1,-42.32511342186109,12467751.578883875,-13529289672.564053,-2.3392012663977332e+16,10287.0,-6.000802434042757e+25
10321,9445,8409,8100,9049,9923,9671,1,-44.3971224761802,12730539.036009317,-41219395867.35527,-2.43655888349674e+16,10321.0,-7.85928269267211e+25
10299,9407,8392,8081,8955,9583,9316,1,-60.2429964274734,11975823.190166952,-42125808950.60697,-2.3784016605941884e+16,10299.0,-6.1607723950302205e+25
10275,9382,8354,7981,8866,9547,9334,1,-60.36405484740348,12211061.958324406,-33006239208.279537,-2.3067697860338e+16,10275.0,-5.679225005052287e+25
10311,9420,8421,8087,8973,9621,9359,1,-61.386839534589946,11790631.148395842,-41521067148.155495,-2.392883441670225e+16,10311.0,-6.173272984590344e+25
10679,9919,9198,9181,11995,13078,11378,1,-10.02627173633822,9435558.711228924,-438960990382.2032,-4.110378031452486e+16,10679.0,-5.515773731397054e+26
10804,10021,9123,8839,10795,11349,10502,1,-18.58845987071944,11322074.119516548,-177003054987.5886,-3.5404055163325536e+16,10804.0,-2.993409339288305e+26
10792,10014,9185,9026,11345,11892,10637,1,-15.26716402065498,10394703.088191712,-285535957875.1922,-3.811122406000337e+16,10792.0,-3.8737421784176635e+26
10666,9904,9135,8987,11593,12175,10482,1,-16.143249985777672,9382529.280749151,-400628368663.8409,-3.7785482371172856e+16,10666.0,-4.151172565364217e+26
10681,9904,9098,8964,11433,11957,10460,1,-15.56359642777127,9896193.339009857,-344090816505.8917,-3.719775796011646e+16,10681.0,-3.90145159506813e+26
10683,9937,9201,9194,11850,12716,11118,1,-11.166813900216928,9445578.83920995,-400729804414.53217,-4.06294401485825e+16,10683.0,-4.820471179898047e+26
10769,9987,9105,8761,10910,11487,10543,1,-17.182184364004677,11119941.950670205,-198726731538.6291,-3.5060298613350376e+16,10769.0,-3.3392169358890126e+26
10810,10000,9078,8745,10584,11537,10869,1,-17.973438239256787,12116085.793554388,-139147020294.60522,-3.448817281712331e+16,10810.0,-3.026963975500574e+26
10704,9967,9190,9084,11496,12188,10775,1,-14.363821181362491,9761013.262176443,-333625620186.35284,-3.875740267087163e+16,10704.0,-4.0378921090595266e+26
10666,9941,9229,9255,12120,12769,10829,1,-12.035693214380851,8845909.929182325,-499832991106.24884,-4.150855387986633e+16,10666.0,-4.808904093998608e+26
10681,9907,9165,9073,11811,12981,11200,1,-12.32267788436864,9608560.818217477,-453099863323.5552,-3.961637287787968e+16,10681.0,-5.2924298123644576e+26
10678,9923,9166,9079,11905,13547,11744,1,-10.421709352575206,10301869.127619088,-477781414219.7731,-4.050140064620059e+16,10678.0,-6.246437499435336e+26
10666,9936,9218,9161,11838,13317,11576,1,-11.545261627330618,9560963.689599553,-456964153353.9705,-4.08297354069686e+16,10666.0,-5.471081989879685e+26
10832,9977,9045,8729,10457,11424,10889,1,-17.72303853116115,12313264.512420088,-109534438149.54414,-3.4016893857492824e+16,10832.0,-2.8520372338146653e+26
10730,9928,9022,8726,10548,11576,10933,1,-16.725596807946168,11947809.017393922,-133934366320.21059,-3.3990958125914184e+16,10730.0,-2.9995453454208754e+26
10621,9892,9133,9058,11768,12403,10737,1,-12.457829129675307,9457779.579456484,-403606415150.6435,-3.882849964271061e+16,10621.0,-4.4662223217914755e+26
10605,9931,9270,9272,12060,12614,10700,1,-13.354113512225588,8038619.045202156,-487989549241.2649,-4.129351281177002e+16,10605.0,-4.275963583433247e+26
