B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11,Hyperfeature_12
10244,9333,8232,7826,8525,9222,9196,1,-2634.589243685905,1.0,-208628.5539939859,0.00011328973970061693,1.213655198871754e-08,104939536.0,3.769965385291956e-08,4.780517614464135e-05,9333.0,7.899141384663511e-17,76837488.0,7.011375125083588e-05
10262,9367,8308,7913,8583,9064,9025,1,-2341.2488250335755,1.0,-220667.30847318846,0.00011270935898179039,1.2039757582051171e-08,105308644.0,-6.019302040147297e-09,4.598717641141111e-05,9367.0,7.338040141110947e-17,77829344.0,6.751389965318951e-05
10233,9354,8290,7903,8637,9169,9029,1,-2352.8618866176594,1.0,-230085.73514641786,0.00011289875699948789,1.1880407185600781e-08,104714289.0,8.199899748082472e-09,4.6017560363498675e-05,9354.0,7.85962547567785e-17,77552950.0,6.748540487042368e-05
10261,9369,8305,7940,8639,9302,9224,1,-2495.971719012532,1.0,-224699.66875913925,0.00011265179113460069,1.1877347140479436e-08,105288121.0,3.954999772556542e-08,4.6690566142632566e-05,9369.0,7.659192524659636e-17,77817850.0,6.855264679398468e-05
10286,9391,8344,7936,8682,9525,9538,1,-2832.4804228561725,1.0,-224717.30556335067,0.00011216288582614159,1.1787532193400943e-08,105801796.0,1.1407111936636888e-07,4.815306483384603e-05,9391.0,7.165836872676394e-17,78366848.0,7.05802306934598e-05
10306,9410,8347,7970,8700,9369,9310,1,-2560.5674688631334,1.0,-228621.61236294638,0.00011210976968585435,1.1719316542151561e-08,106213636.0,5.2619347652537326e-08,4.6698832073158265e-05,9410.0,7.434107634627975e-17,78553617.0,6.851487970980187e-05
10272,9415,8361,8017,8831,9805,9820,1,-2994.316785244484,1.0,-246759.35439249012,0.00011183959244215409,1.138723096758651e-08,105513984.0,2.1890549473242103e-07,4.8594714068267267e-05,9415.0,7.195932803655983e-17,78727176.0,7.123812034519729e-05
10252,9363,8310,7933,8730,9312,9178,1,-2457.535472621111,1.0,-240278.80456433314,0.00011267704984813984,1.1645483194302514e-08,105103504.0,4.6238629891262055e-08,4.6333072033154986e-05,9363.0,7.880822511736603e-17,77814840.0,6.788640644091549e-05
10296,9418,8391,8043,8850,9502,9385,1,-2517.185663676748,1.0,-254992.81055950592,0.00011180492147968848,1.1375447582887186e-08,106007616.0,8.183335616001524e-08,4.6155104518090466e-05,9418.0,7.444274163952665e-17,79034829.0,6.766992552818342e-05
10350,9485,8446,8127,8980,9640,9593,1,-2630.5022070023806,1.0,-270923.2469578549,0.00011100520721543119,1.1042338813695157e-08,107122500.0,1.2881744630824414e-07,4.6198691508509193e-05,9485.0,7.047513790640897e-17,80118756.0,6.772803527500308e-05
