B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
10666,9904,9135,8987,11593,12175,10482,1,-8.182688027965323,9135.0,-103382742.0,10333.0000022198,113763556.0,2403386365630.0,2176351004458.0
10681,9904,9098,8964,11433,11957,10460,1,-9.526150472378426,9098.0,-101211248.00000001,10325.000001945045,114083761.0,2383839209301.0,2167224983481.0
10683,9937,9201,9194,11850,12716,11118,1,-4.742318952921846,9201.0,-113815371.00000001,11110.000001431285,114126489.0,2587720303161.0,2456623640259.0
10769,9987,9105,8761,10910,11487,10543,1,-37.819714778523306,9105.0,-93775390.00000001,10198.000000676393,115971361.0,2372594548368.0,2220206964695.0
10810,10000,9078,8745,10584,11537,10869,1,-53.79701951572713,9078.0,-92789405.0,10534.9999994978,116856100.0,2418494242570.0,2362703230810.0
10704,9967,9190,9084,11496,12188,10775,1,-7.525217401363345,9190.0,-105773963.99999999,10668.000001420278,114575616.0,2475447993504.0,2314349869454.0
10666,9941,9229,9255,12120,12769,10829,1,-4.623878205687291,9229.0,-114676609.00000001,10854.000002640461,113763556.0,2548092147620.0,2331507296228.0
10681,9907,9165,9073,11811,12981,11200,1,-4.806602950598581,9165.0,-112812510.00000001,11107.000001139102,114083761.0,2598063540281.0,2485468170681.0
10678,9923,9166,9079,11905,13547,11744,1,-3.8052610301446834,9166.0,-118799296.99999997,11656.000000281418,114019684.0,2737284296374.0,2737190814134.0
10666,9936,9218,9161,11838,13317,11576,1,-4.060018971232074,9218.0,-117692728.0,11518.000000479346,113763556.0,2688427429450.0,2662923047338.0
10832,9977,9045,8729,10457,11424,10889,1,-101.30937500292886,9045.0,-91308706.0,10571.999999241236,117332224.0,2410183118064.0,2365952196066.0
10730,9928,9022,8726,10548,11576,10933,1,-26.47271924823925,9022.0,-93594462.0,10635.99999931395,115132900.0,2402061889570.0,2373397400314.0
10621,9892,9133,9058,11768,12403,10737,1,-5.754276782738135,9133.0,-108601870.0,10661.000002060384,112805641.0,2470056094441.0,2280762226117.0
10605,9931,9270,9272,12060,12614,10700,1,-4.875927533034696,9270.0,-113660005.00000003,10701.000002875093,112466025.0,2495395749105.0,2274000390605.0
10639,9849,9123,9068,11890,12720,10841,1,-5.0437649639997595,9123.0,-110627286.99999999,10785.000002066314,113188321.0,2507319727500.0,2315052391777.0
10631,9875,9116,9060,11735,12946,11229,1,-4.641846964835888,9116.0,-112636740.0,11172.000000951757,113018161.0,2579704544021.0,2490286220381.0
10675,9950,9228,9263,12095,13011,11243,1,-4.0150831382516925,9228.0,-118272909.0,11277.00000166538,113955625.0,2645819416800.0,2515460485775.0
10759,9917,8922,8534,10079,11140,10884,1,45.61693312207281,8922.0,-86140495.99999999,10494.999998624624,115756081.0,2341550726935.0,2349564529063.0
10655,9791,8845,8618,10947,11823,10195,1,-25.332904574381214,8845.0,-90719482.0,9967.000001427086,113529025.0,2252721771705.0,2035314416205.0
10599,9732,8759,8469,10100,11323,10330,1,39.45909507185303,8759.0,-82628502.0,10038.999999573974,112338801.0,2171359482039.0,2076982040199.0
10651,9912,9171,9115,11806,12836,11245,1,-4.581436489282074,9171.0,-113946534.99999999,11188.000001064953,113443801.0,2601175621061.0,2506745306251.0
10627,9877,9122,9088,11857,12765,11068,1,-4.6368454324172745,9122.0,-112734693.99999997,11033.000001527806,112933129.0,2556345179451.0,2419877337123.0
10634,9768,8849,8620,10831,11659,10295,1,-24.555291946127795,8849.0,-90667196.00000001,10065.000001019826,113081956.0,2255117351604.0,2070562531034.0
10585,9785,9022,8949,11575,12366,10726,1,-5.954644956776107,9022.0,-105674124.00000001,10652.000001682016,112042225.0,2425101416185.0,2251471287905.0
10610,9732,8858,8609,12516,12499,9888,1,-5.91086757012222,8858.0,-103674984.0,9638.00000508951,112572100.0,2334075067250.0,1903044807026.0
10692,9914,9048,8828,10798,11671,10746,1,-17.056412698923484,9048.0,-95916572.00000001,10525.000000097758,114318864.0,2379730767876.0,2289668369940.0
10706,9917,8954,8634,10226,11020,10621,1,57.227112691239874,8954.0,-86941554.00000001,10299.999999277406,114618436.0,2290428835624.0,2237387094300.0
10626,9746,8819,8589,10442,11502,10191,1,486.79835855204016,8819.0,-85737235.0,9960.00000048263,112911876.0,2186149769034.0,2024370538278.0
10590,9733,8785,8511,10121,11292,10328,1,47.55199591801655,8785.0,-83336830.99999997,10052.999999610667,112148100.0,2171501876670.0,2076391200734.0
10672,9827,8872,8687,11022,12621,10782,1,-10.574572323378606,8872.0,-97102683.99999997,10596.000000425445,113891584.0,2399000703568.0,2284807463368.0
10559,9703,8782,8549,12068,12699,10299,1,-5.8624752177700525,8782.0,-102687978.0,10065.000003254794,111492481.0,2367534017270.0,2058382806365.0
10537,9661,8743,8534,10964,11957,10308,1,-13.346007968959029,8743.0,-92093719.0,10098.000001242051,111028369.0,2240192553037.0,2053056492745.0
10614,9834,9074,9024,11678,12402,10796,1,-5.595850352258793,9074.0,-107886479.99999997,10745.0000017523,112656996.0,2465033071542.0,2292376530102.0
10576,9833,9106,9081,11725,12204,10621,1,-5.711397332618635,9106.0,-107747418.0,10595.000002297322,111851776.0,2421560480944.0,2218435746482.0
10679,9832,8888,8651,10727,11796,10659,1,-19.825032207485883,8888.0,-92682945.0,10421.00000012353,114041041.0,2340178781378.0,2234111232263.0
10630,9907,9186,9206,12007,12844,11120,1,-4.21128448375386,9186.0,-116012659.0,11139.00000175731,112996900.0,2590357529030.0,2450088292230.0
10614,9861,9115,9057,11748,12748,11189,1,-4.62337855437896,9115.0,-112521146.99999999,11130.000001065897,112656996.0,2566285844628.0,2469070576176.0
10667,9833,8896,8726,11274,12220,10275,1,-12.863592118287253,8896.0,-95628281.0,10104.000001904526,113784889.0,2313399502142.0,2076250251917.0
10649,9810,8841,8631,10673,11662,10206,1,-65.56969676428001,8841.0,-88323426.00000001,9995.000000892735,113401201.0,2226168114851.0,2043667004969.0
10641,9778,8854,8652,10952,11625,10087,1,-27.825671320872864,8854.0,-90313681.99999999,9884.000001694341,113230881.0,2225070460551.0,1989775470005.0
10644,9806,8883,8675,10644,11595,10314,1,-44.091234900213394,8883.0,-89473950.0,10105.000000634358,113294736.0,2245046327844.0,2086297035396.0
10628,9792,8842,8620,10433,11571,10455,1,-63.77597199649863,8842.0,-88212660.00000003,10231.999999958725,112954384.0,2247315852128.0,2140668788228.0
10647,9816,8871,8617,10442,11658,10609,1,-44.89809286873907,8871.0,-89405473.0,10353.99999969461,113358609.0,2288222608581.0,2209598906439.0
10653,9926,9247,9326,12347,13080,11136,1,-3.6610024395447365,9247.0,-120668979.99999999,11214.000002446122,113486409.0,2642286270237.0,2461856377245.0
10640,9791,8867,8668,10868,11997,10554,1,-15.103208743069878,8867.0,-93714420.00000001,10354.000000582606,113209600.0,2319893325680.0,2181178599752.0
10707,9834,8917,8716,11190,12292,10442,1,-13.043348319160993,8917.0,-95762293.99999999,10240.000001384538,114639849.0,2350535644563.0,2144507549859.0
10672,9875,8937,8642,10373,11174,10620,1,-184.06748873440543,8937.0,-88825415.00000001,10323.999999544072,113891584.0,2294840297392.0,2227491910672.0
10633,9837,8978,8813,10903,11646,10591,1,-13.623125867833124,8978.0,-95994473.00000003,10425.00000060599,113060689.0,2335616506853.0,2206818445027.0
10573,9810,9059,9033,11696,12566,10940,1,-4.946436286951222,9059.0,-109837650.0,10913.000001494667,111788329.0,2487569352293.0,2348192242573.0
10591,9816,9036,8953,11532,12422,11007,1,-5.447232563158662,9036.0,-107782526.99999999,10923.000001007706,112169281.0,2488646035267.0,2378496300559.0
10691,9825,8884,8696,10751,11986,10649,1,-17.77941466212044,8884.0,-93193204.0,10460.00000018673,114297481.0,2342545903075.0,2228333610341.0
10594,9861,9092,9004,11531,12561,11246,1,-5.0122244762140005,9092.0,-110498740.99999997,11157.000000537395,112232836.0,2548645543202.0,2494290971146.0
