B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
10253,9373,8298,7901,8590,9203,9112,1,786076336681.2295,7901.0,75611376.0,-3.360379590194698e-07,3305.9638906716937
10263,9352,8276,7874,8449,8914,8913,1,743098304815.2328,7874.0,73763988.0,-1.359917485280912e-07,3420.3990117101603
10217,9313,8251,7852,8562,9290,9256,1,800885320682.2314,7852.0,76371256.0,-2.3841684612899536e-06,2973.5633552890613
10276,9385,8277,7918,8624,9159,9091,1,781514721209.2295,7918.0,75246207.0,-2.515934978514198e-07,3334.905622870796
10244,9333,8232,7826,8525,9222,9196,1,791566672751.2361,7826.0,75701472.0,-5.196902141630271e-07,2903.253899052317
10262,9367,8308,7913,8583,9064,9025,1,766322775235.2289,7913.0,74979700.0,-1.9092883292697478e-07,3479.265056995431
10233,9354,8290,7903,8637,9169,9029,1,774466216613.2277,7903.0,74850410.0,-3.045639131618643e-07,3515.488308240394
10261,9369,8305,7940,8639,9302,9224,1,803953449656.2263,7940.0,76605320.0,-8.347562307376195e-07,3256.849073941601
10286,9391,8344,7936,8682,9525,9538,1,853245543453.2285,7936.0,79585072.0,4.3136516987241284e-07,2823.526183754664
10306,9410,8347,7970,8700,9369,9310,1,820869465169.2266,7970.0,77710570.0,-1.3402340111867965e-06,3221.3145075759967
10272,9415,8361,8017,8831,9805,9820,1,906602935314.2195,8017.0,82105020.0,1.425827591716858e-07,2726.3683043740784
10252,9363,8310,7933,8730,9312,9178,1,800291620097.2262,7933.0,76269180.0,-1.0673982716229698e-06,3426.831212293091
10296,9418,8391,8043,8850,9502,9385,1,839941137297.2189,8043.0,78749535.0,6.635709621961223e-07,3463.4329760042347
10350,9485,8446,8127,8980,9640,9593,1,877219902509.2147,8127.0,81022478.0,3.5210560861887874e-07,3398.3212616380333
10276,9373,8318,7930,8676,9430,9336,1,825262637653.2284,7930.0,77656848.0,1.0154902284481636e-06,3099.6574573307444
10314,9404,8354,7990,8795,9686,9572,1,871964703383.2253,7990.0,79964488.0,1.965267109653688e-07,2959.1267396097137
10301,9403,8342,7969,8694,9482,9403,1,838442829963.2263,7969.0,78439826.0,7.270537111048779e-07,3072.8296852672756
10289,9416,8354,7977,8731,9480,9421,1,841031790543.2247,7977.0,78703034.0,8.980928657405225e-07,3114.42171472068
10294,9427,8354,7980,8787,9671,9550,1,870738090507.2247,7980.0,79780700.0,2.2761174552926323e-07,2962.068541564564
10274,9389,8349,7921,8676,9415,9422,1,832959021330.229,7921.0,78664278.0,2.3256313242519003e-06,2986.409266223738
10323,9452,8428,8123,9087,9895,9692,1,906548579135.2131,8123.0,81684176.0,1.177214734098535e-07,3376.700614327063
10253,9417,8368,8015,8845,9736,9558,1,876393632351.2183,8015.0,79981344.0,1.7096087784224633e-07,3146.2017826557167
10287,9402,8366,8013,8897,9532,9445,1,846538272611.2211,8013.0,79016870.0,4.2349227347911633e-07,3341.515630826685
10321,9445,8409,8100,9049,9923,9671,1,906471993189.2153,8100.0,81323439.0,1.0903044863386664e-07,3306.2457618645494
10299,9407,8392,8081,8955,9583,9316,1,839891013339.2155,8081.0,78179872.0,3.0279296791480346e-07,3757.341498333484
10275,9382,8354,7981,8866,9547,9334,1,836124327863.2234,7981.0,77976236.0,3.3023542880034683e-07,3434.148365612313
10311,9420,8421,8087,8973,9621,9359,1,848283811199.2157,8087.0,78812139.0,2.6500538301004665e-07,3740.667599885848
10679,9919,9198,9181,11995,13078,11378,1,1476053154757.1404,9181.0,104654844.0,9.460909342607647e-09,6233.758254171207
10804,10021,9123,8839,10795,11349,10502,1,1194466332740.182,8839.0,95809746.0,2.9289905922404403e-08,5238.573644146803
10792,10014,9185,9026,11345,11892,10637,1,1266814951445.1636,9026.0,97700845.0,1.835530480074904e-08,6068.957520889406
10666,9904,9135,8987,11593,12175,10482,1,1264022611439.1575,8987.0,95753070.0,1.3983378100816254e-08,6629.660058293695
10681,9904,9098,8964,11433,11957,10460,1,1238785565471.1606,8964.0,95165080.0,1.6071578949850754e-08,6391.00668383823
10683,9937,9201,9194,11850,12716,11118,1,1404949591592.1394,9194.0,102296718.0,1.1100803034335296e-08,6445.54969725421
10769,9987,9105,8761,10910,11487,10543,1,1209590944901.1863,8761.0,95994015.0,2.5257838763047696e-08,5172.190832626391
