B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2
10636,9772,8863,8690,11287,12088,10309,1,-4.789708789752618e-13,8.027140845543914e-25
10639,9787,8843,8633,10753,11911,10500,1,-5.365923001443385e-13,9.92386222736129e-25
10652,9800,8870,8640,10467,11786,10572,1,-5.780594431965546e-13,1.1619250973293208e-24
10656,9847,8939,8734,10785,12062,10717,1,-5.324740952803935e-13,9.921552049978223e-25
10669,9839,8912,8714,10755,11878,10681,1,-5.3563412366087e-13,1.0316257469896754e-24
10647,9811,8915,8756,12180,12416,10187,1,-3.911975089792405e-13,5.877883625051509e-25
10696,9836,8897,8738,10936,12222,10531,1,-5.182717883329896e-13,8.96434211279965e-25
10636,9778,8846,8617,11981,12523,10166,1,-3.99304815200578e-13,5.812626592905469e-25
10625,9760,8839,8611,11444,12597,10569,1,-4.4056581368462494e-13,6.776393574206604e-25
10640,9778,8812,8583,10493,11864,10512,1,-5.701015559285165e-13,1.0977138569522431e-24
10711,9841,8909,8689,10565,11835,10524,1,-5.679632446559437e-13,1.106124409343231e-24
10673,9825,8883,8718,10763,12120,10502,1,-5.438450564605536e-13,9.784261060301618e-25
10662,9813,8894,8749,10984,12110,10614,1,-5.104080306862493e-13,9.166130918315383e-25
10624,9769,8849,8733,11278,12429,10449,1,-4.789253864619603e-13,7.749233888814242e-25
10721,9824,8854,8676,11250,12315,10381,1,-4.750146809678256e-13,7.560584985258512e-25
10630,9751,8783,8512,11317,11733,10050,1,-4.67918219669967e-13,7.871862477944447e-25
10613,9749,8826,8635,11670,12479,10320,1,-4.2834554476494055e-13,6.522556077341526e-25
10618,9741,8788,8575,10745,11851,10417,1,-5.358751434557222e-13,9.895162150165427e-25
10671,9814,8851,8599,10328,11467,10300,1,-6.106675819062172e-13,1.2777795531118867e-24
10619,9781,8868,8707,11005,12374,10492,1,-5.105344413763331e-13,8.530552816934887e-25
10573,9718,8775,8632,11161,12346,10319,1,-4.912218702527446e-13,7.956244554969796e-25
10717,9837,8902,8773,11558,12299,10317,1,-4.508390511395395e-13,7.117257675797814e-25
10674,9786,8853,8637,10503,11836,10481,1,-5.755139079184258e-13,1.1251756339702828e-24
10737,9872,8883,8711,11112,11989,10225,1,-5.037476805592883e-13,8.428264209071602e-25
10761,9874,8880,8627,10835,11981,10230,1,-5.315016095040964e-13,8.968227160830425e-25
10706,9830,8831,8559,10422,11284,10146,1,-5.9575918844726e-13,1.2172614891845546e-24
10629,9753,8797,8563,11070,11748,10107,1,-5.031463802855678e-13,8.72573877005526e-25
10619,9739,8826,8637,10686,12006,10480,1,-5.493326674531207e-13,1.0193003086045249e-24
10643,9791,8812,8551,10297,11944,10763,1,-5.846611981200356e-13,1.1743173026736848e-24
10603,9758,8852,8694,11195,12382,10649,1,-4.771219420697264e-13,8.00478221269142e-25
10651,9751,8811,8667,10953,12102,10598,1,-5.06435370683969e-13,9.082145804227922e-25
10602,9686,8752,8528,10743,11760,10365,1,-5.337778522086956e-13,9.992318720970302e-25
10717,9864,8921,8722,11475,12366,10305,1,-4.55882430715526e-13,6.994459796731633e-25
10747,9867,8883,8625,10437,11658,10306,1,-5.907636567938698e-13,1.151983266214191e-24
10767,9891,8915,8712,10937,12003,10497,1,-5.133117278653349e-13,9.00158274104361e-25
10677,9815,8855,8639,10517,12152,10983,1,-5.4711812191132e-13,1.062324112157153e-24
10599,9773,8833,8689,11114,12769,10842,1,-4.785795334668002e-13,7.669681141115744e-25
10580,9704,8727,8532,10374,11555,10247,1,-6.014237284606314e-13,1.2245285714383848e-24
10612,9746,8787,8616,10803,11980,10401,1,-5.334649796915283e-13,9.613441353525469e-25
10653,9782,8808,8583,10758,11992,10338,1,-5.372484242257705e-13,9.426900024511335e-25
10546,9721,8778,8656,11122,12602,10561,1,-4.889821589304626e-13,7.860472111185889e-25
10253,9364,8356,7946,9328,9634,8934,1,-8.492481386729034e-13,2.498798553845045e-24
10268,9442,8585,8444,10912,12257,10490,1,-5.094740042174474e-13,9.162029916328188e-25
10211,9321,8307,7955,9437,10189,9363,1,-7.875809506531927e-13,2.1287647216504214e-24
10203,9355,8391,8075,9856,10889,9563,1,-6.980088597606083e-13,1.5539779534383806e-24
10255,9358,8413,8100,9793,10926,9840,1,-6.922963009357394e-13,1.6250237560607332e-24
10288,9484,8653,8495,11111,13069,10940,1,-4.674326517475862e-13,7.517903832591789e-25
10191,9335,8373,8031,9871,10651,9576,1,-6.871552312705261e-13,1.595122732994477e-24
10227,9348,8428,8085,10426,10759,9348,1,-6.033091708560923e-13,1.2391043599619303e-24
10202,9314,8370,8023,10180,10760,9338,1,-6.404585999014814e-13,1.3396997612684458e-24
10237,9373,8421,8122,10083,11005,10038,1,-6.262341890721118e-13,1.411542728804437e-24
10205,9303,8307,7905,9375,10212,9304,1,-7.987432638092882e-13,2.1240483889222675e-24
10271,9368,8408,8100,9776,10896,9918,1,-6.893656285454551e-13,1.64901100128975e-24
10176,9295,8310,7928,9392,9871,9055,1,-8.233556656277661e-13,2.310032054354147e-24
10199,9332,8352,8011,9614,10010,9062,1,-7.814108919179968e-13,2.0487762090010813e-24
10171,9303,8302,7942,9608,10551,9613,1,-7.27341194829626e-13,1.792000546573342e-24
10196,9330,8361,8059,9989,11503,10211,1,-6.258902253847295e-13,1.3093830166592647e-24
10232,9337,8365,8002,9552,9952,9039,1,-7.943890238993528e-13,2.1245010290494007e-24
10197,9298,8303,7939,9758,10873,9744,1,-6.827150362892483e-13,1.5428570821746404e-24
10194,9304,8328,7961,9488,9976,9038,1,-8.053677847149945e-13,2.1619377966874978e-24
10188,9287,8301,7924,9579,10461,9474,1,-7.401267437105648e-13,1.8283313716564457e-24
10228,9308,8256,7826,9040,9190,8600,1,-9.425083904730037e-13,3.1261074046607618e-24
10174,9284,8216,7797,9135,9594,8726,1,-8.983022168214056e-13,2.6161815097129488e-24
10147,9251,8151,7703,8619,9111,8698,1,-1.0500067474134765e-12,4.236985522035547e-24
10165,9273,8219,7805,9275,9673,8971,1,-8.372512802297693e-13,2.3921621691375354e-24
10129,9215,8106,7666,8944,9135,8341,1,-9.72204363309928e-13,3.04645882259963e-24
10203,9331,8328,7971,10153,10597,9065,1,-6.5636704021585e-13,1.3452301089629178e-24
10212,9330,8418,8070,11050,11287,9272,1,-5.097720337909904e-13,8.979094324147533e-25
10163,9282,8313,7907,10664,10459,8894,1,-5.703533775059755e-13,1.1344172914964127e-24
10211,9306,8267,7889,9880,10125,8864,1,-7.129762360483764e-13,1.6084917358550982e-24
10204,9318,8246,7836,9269,9746,9047,1,-8.3524746826819e-13,2.379949100386748e-24
10182,9281,8198,7782,9171,9552,8797,1,-8.76525767942857e-13,2.5588789031716802e-24
10173,9292,8214,7800,9189,9595,8795,1,-8.763943367896433e-13,2.5313661346260272e-24
10196,9287,8269,7830,9586,9973,8963,1,-7.616019142018288e-13,1.8748738439468093e-24
10138,9259,8305,7923,11108,11232,9040,1,-4.997479039343454e-13,8.621760275893113e-25
10125,9202,8296,7780,12016,11297,8811,1,-3.9107423269403413e-13,6.653267004470998e-25
10127,9237,8223,7784,10128,9860,8570,1,-6.720056811416402e-13,1.4881179089566427e-24
10177,9311,8265,7909,9906,10327,8857,1,-7.139071982871155e-13,1.5386602926587525e-24
10230,9338,8285,7889,9506,9921,8888,1,-7.968394051601827e-13,2.0181511058000002e-24
10163,9298,8233,7878,10077,10144,8688,1,-6.869046232652109e-13,1.4659673594838056e-24
