A2,A6,A7,A9,class,contam,num,std
1.15539076275985, 1.05166940365215, 1.52444906640562, 1.27279436502251, 1, 332.9, 14, 2.1
1.15557893715118, 1.05063827097433, 1.51613915701183, 1.28114700127241, 1, 332.9, 14, 2.1
1.11690909973307, 1.02253990550377, 1.42412025207326, 1.27549668851512, 0, 33.0, 18, 0.9
1.11606231497209, 1.02168062827225, 1.4167251950898, 1.27832184489377, 0, 33.0, 18, 0.9
1.11719136132007, 1.02168062827225, 1.41032122821752, 1.26714405226522, 0, 33.0, 18, 0.9
1.14297125293213, 1.05235682543736, 1.45705493884498, 1.26124807373587, 0, 33.0, 18, 0.9
1.14334760171479, 1.05089605414379, 1.44981235726324, 1.27242586636442, 0, 33.0, 18, 0.9
1.14250081695381, 1.05072419869748, 1.44226482487805, 1.26960070998578, 0, 33.0, 18, 0.9
1.1472992639327, 1.04866193334185, 1.46597474984565, 1.2745140254269, 0, 33.0, 18, 0.9
1.14720517673704, 1.04737301749457, 1.45880840596477, 1.29121929792671, 0, 33.0, 18, 0.9
1.14626430478039, 1.04754487294088, 1.45126087357958, 1.27733918180555, 0, 33.0, 18, 0.9
1.1713, 1.0246, 1.76977777777778, 1.31, 0, 42.0, 7, 1.9
1.1705, 1.0242, 1.76266666666667, 1.31811764705882, 0, 42.0, 7, 1.9
1.1709, 1.0242, 1.75644444444444, 1.312, 0, 42.0, 7, 1.9
1.1822, 1.0544, 1.78488888888889, 1.31682352941176, 0, 42.0, 7, 1.9
1.1805, 1.0523, 1.77855555555556, 1.32294117647059, 0, 42.0, 7, 1.9
1.1815, 1.0556, 1.77188888888889, 1.30858823529412, 0, 42.0, 7, 1.9
1.1905, 1.0674, 1.83233333333333, 1.31329411764706, 0, 42.0, 7, 1.9
1.1897, 1.0666, 1.824, 1.32976470588235, 0, 42.0, 7, 1.9
1.1913, 1.0694, 1.81866666666667, 1.31129411764706, 0, 42.0, 7, 1.9
1.1744, 1.1011, 1.4772, 1.241, 0, 1.0, 405, 0.
1.175, 1.1024, 1.4733, 1.2381, 0, 1.0, 405, 0.
1.1743, 1.1001, 1.4694, 1.2371, 0, 1.0, 405, 0.
1.1861, 1.1036, 1.4767, 1.2288, 0, 1.0, 405, 0.
1.1858, 1.1026, 1.4716, 1.2284, 0, 1.0, 405, 0.
1.1855, 1.105, 1.4674, 1.2249, 0, 1.0, 405, 0.
1.1913, 1.0991, 1.4833, 1.2349, 0, 1.0, 405, 0.
1.192, 1.0982, 1.4789, 1.2317, 0, 1.0, 405, 0.
1.1912, 1.0976, 1.4739, 1.232, 0, 1.0, 405, 0.
1.1975, 1.0987, 1.71088888888889, 1.31517647058824, 0, 93.1, 12, 4.4
1.1978, 1.0963, 1.70588888888889, 1.31517647058824, 0, 93.1, 12, 4.4
1.1981, 1.0995, 1.69966666666667, 1.30494117647059, 0, 93.1, 12, 4.4
1.207, 1.1079, 1.74277777777778, 1.30952941176471, 0, 93.1, 12, 4.4
1.2074, 1.1061, 1.737, 1.31352941176471, 0, 93.1, 12, 4.4
1.2068, 1.1075, 1.73055555555556, 1.31764705882353, 0, 93.1, 12, 4.4
1.2127, 1.1078, 1.75055555555556, 1.30788235294118, 0, 93.1, 12, 4.4
1.2119, 1.1066, 1.74333333333333, 1.31611764705882, 0, 93.1, 12, 4.4
1.2116, 1.1042, 1.73755555555556, 1.312, 0, 93.1, 12, 4.4
1.1765, 1.0725, 1.5209, 1.271, 0, 28.9, 6, 1.5
1.1752, 1.0739, 1.5166, 1.2697, 0, 28.9, 6, 1.5
1.176, 1.0766, 1.5122, 1.266, 0, 28.9, 6, 1.5
1.1782, 1.0813, 1.5027, 1.2599, 0, 28.9, 6, 1.5
1.1779, 1.0805, 1.4981, 1.2579, 0, 28.9, 6, 1.5
1.1776, 1.0825, 1.4944, 1.2546, 0, 28.9, 6, 1.5
1.1835, 1.0838, 1.5112, 1.2595, 0, 28.9, 6, 1.5
1.1831, 1.0864, 1.5065, 1.2558, 0, 28.9, 6, 1.5
1.1835, 1.0858, 1.5016, 1.2535, 0, 28.9, 6, 1.5
1.1726, 1.03175, 1.66945, 1.3397, 1, 202.4, 21, 2.6
1.1724, 1.03155, 1.6637, 1.33835, 1, 202.4, 21, 2.6
1.1753, 1.0419, 1.6582, 1.3327, 1, 202.4, 21, 2.6
1.1809, 1.033, 1.637, 1.32015, 1, 202.4, 21, 2.6
1.18035, 1.03295, 1.63225, 1.3183, 1, 202.4, 21, 2.6
1.18025, 1.03205, 1.6271, 1.31655, 1, 202.4, 21, 2.6
1.188, 1.0433, 1.6345, 1.3151, 1, 202.4, 21, 2.6
1.1871, 1.0444, 1.629, 1.3123, 1, 202.4, 21, 2.6
1.187, 1.0441, 1.6241, 1.3114, 1, 202.4, 21, 2.6
1.2018, 1.0725, 1.4844, 1.2238, 0, 1.0, 203, 0.
1.2014, 1.0747, 1.4798, 1.2208, 0, 1.0, 203, 0.
1.2013, 1.0727, 1.4749, 1.22, 0, 1.0, 203, 0.
1.2013, 1.0446, 1.4958, 1.2366, 0, 1.0, 203, 0.
1.2001, 1.042, 1.4914, 1.2349, 0, 1.0, 203, 0.
1.2017, 1.0427, 1.4879, 1.233, 0, 1.0, 203, 0.
1.1961, 1.0598, 1.4849, 1.23, 0, 1.0, 203, 0.
1.1953, 1.0587, 1.4812, 1.226, 0, 1.0, 203, 0.
1.1947, 1.0598, 1.4763, 1.2254, 0, 1.0, 203, 0.
1.1475, 0.986, 1.5373, 1.2991, 1, 167.2, 13, 2.8
1.147, 0.9872, 1.5312, 1.2964, 1, 167.2, 13, 2.8
1.147, 0.9851, 1.5266, 1.2937, 1, 167.2, 13, 2.8
1.1535, 0.9992, 1.56, 1.2956, 1, 167.2, 13, 2.8
1.1524, 0.9981, 1.5535, 1.2953, 1, 167.2, 13, 2.8
1.1521, 0.9973, 1.5489, 1.2929, 1, 167.2, 13, 2.8
1.1603, 1.0227, 1.5964, 1.2988, 1, 167.2, 13, 2.8
1.1599, 1.0204, 1.5908, 1.2968, 1, 167.2, 13, 2.8
1.1606, 1.0208, 1.5852, 1.2954, 1, 167.2, 13, 2.8
